Yuber,One Piece: The Giant Mechanical Soldier of Karakuri Castle,8
Yuber,One Piece: The Movie,7
Yuber,Persona 3 the Movie: #1 Spring of Birth,8
Yuber,Persona 4 the Animation: No One is Alone,-
Yuber,Pet Shop of Horrors,7
Yuber,Pia Carrot e Youkoso!! 2 DX,7
Yuber,Pokémon,5
Yuber,Pokémon 3: The Movie,5
Yuber,Pokémon: Origins,9
Yuber,Pokémon: Pikachu's Rescue Adventure,-
Yuber,Pokémon: Pikachu's Summer Vacation,-
Yuber,Pokémon: The First Movie - Mewtwo Strikes Back,7
Yuber,Pokémon: The Movie 2000,6
Yuber,Pop Team Epic,10
Yuber,Ranma ½,7
Yuber,Saber Marionette J,7
Yuber,Saber Marionette J Again,7
Yuber,Saber Marionette J to X,6
Yuber,Saber Marionette R,5
Yuber,Saint Seiya: Knights of the Zodiac,7
Yuber,Saint Seiya: Legend of Crimson Youth,-
Yuber,Saint Seiya: The Heated Battle of the Gods,-
Yuber,Saint Seiya: Warriors of the Final Holy Battle,-
Yuber,Sakura Diaries,-
Yuber,Shaman King,7
Yuber,Slayers,7
Yuber,Slayers Next,7
Yuber,Slayers Try,7
Yuber,Spirited Away,9
Yuber,Tenamonya Voyagers,7
Yuber,The First Slam Dunk,10
Yuber,The Illusionary Golden Bowl,7
Yuber,The Legend of Thunder!,6
Yuber,Theatre of Darkness: Yamishibai,8
Yuber,Those Who Hunt Elves,7
Yuber,Toriko: Jump Super Anime Tour 2009 Special,9
Yuber,Vandread,8
Yuber,Vandread: The Second Stage,7
Yuber,Virtua Fighter,-
Yuber,You're Under Arrest (1996),-
Yuber,You're Under Arrest: Diverting Traffic at the Beach,-
Yuber,You're Under Arrest: Fast & Furious,-
Yuber,Yu Yu Hakusho the Movie: Poltergeist Report,7
Yuber,Yu Yu Hakusho: Ghost Files,8
Yuber,Yu Yu Hakusho: The Movie,-
Yuber,Yu-Gi-Oh! 3D: Bonds Beyond Time,7
Yuber,Yu-Gi-Oh!: The Movie,-
Yuber,Yu☆Gi☆Oh! The Dark Side of Dimensions,-
Yuber,Carnival Phantasm,8
Yuber,Fairy Tail OVA,-
Yuber,Hellsing Ultimate,9
Yuber,JoJo's Bizarre Adventure (2012),9
Yuber,JoJo's Bizarre Adventure (OVA),-
Yuber,My Love Story!!,9
Yuber,Nichijou - My Ordinary Life,-
Yuber,Pretty Guardian Sailor Moon Crystal,-
Yuber,Beelzebub,8
Yuber,Casshern Sins,8
Yuber,Dragon Ball Super,-
Yuber,Fullmetal Alchemist: Brotherhood,9
Yuber,Medabots Spirits,-
Yuber,Persona 4 the Golden Animation,-
Yuber,Saint Seiya: Soul of Gold,-
Yuber,Tales of the Abyss,-
Yuber,Afro Samurai,-
Yuber,Assassination Classroom The Movie: 365 Days' Time,-
Yuber,Bleach the Movie: Fade to Black,-
Yuber,Case Closed,9
Yuber,Detective Conan Movie 11: Jolly Roger in the Deep Azure,-
Yuber,Detective Conan Movie 20: The Darkest Nightmare,-
Yuber,Devil Survivor 2 The Animation,-
Yuber,Devilman: Crybaby,-
Yuber,Digimon Adventure tri. Confession,-
Yuber,Digimon Adventure tri. Determination,-
Yuber,Gintama,9
Yuber,Great Teacher Onizuka,-
Yuber,Lupin III vs. Detective Conan,-
Yuber,Lupin III vs. Detective Conan: The Movie,-
Yuber,Musashi: The Dream of the Last Samurai,-
Yuber,One Piece Film: Gold,-
Yuber,One Punch Man,-
Yuber,Pokémon: Mewtwo Returns,-
Yuber,Qui Shui Yi Yun,-
Yuber,Slam Dunk (Movie),-
Yuber,Supernatural: The Anime Series,-
bellico,Blade of the Immortal,9
bellico,Ghost Hunt,-
bellico,Hellsing Ultimate,8
bellico,Akira,9
bellico,Apocalypse Zero,5
bellico,Black Blood Brothers,8
bellico,Black Cat,7
bellico,Black Lagoon,8
bellico,Black Lagoon: The Second Barrage,9
bellico,Blood+,6
bellico,Blood: The Last Vampire,8
bellico,Claymore,8
bellico,Code Geass: Lelouch of the Rebellion,8
bellico,Cowboy Bebop,-
bellico,Darker than Black,9
bellico,Death Note,8
bellico,Devil May Cry,6
bellico,Elfen Lied,7
bellico,Final Fantasy VII: Advent Children,-
bellico,Final Fantasy VII: Last Order,8
bellico,Final Fantasy: The Spirits Within,5
bellico,Full Metal Panic? Fumoffu,-
bellico,Fullmetal Alchemist,-
bellico,Hellsing,8
bellico,Innocent Venus,8
bellico,Mobile Suit Gundam 00,-
bellico,Ouran High School Host Club,-
bellico,Samurai Champloo,-
bellico,Speed Grapher,9
bellico,The Animatrix,7
bellico,Trinity Blood,10
bellico,Vexille,7
bellico,Ghost in the Shell,-
bellico,Ghost in the Shell: Stand Alone Complex,-
bellico,Bleach,7
baxter,Big Windup!,10
baxter,Bleach,8
baxter,D.Gray-man,9
baxter,Eyeshield 21,10
baxter,Major S4,10
baxter,Mobile Suit Gundam 00,7
baxter,Naruto Shippuden,8
baxter,One Piece,8
baxter,Reborn!,10
baxter,Shigofumi: Letters from the Departed,9
baxter,True Tears,9
baxter,5 Centimeters per Second,10
baxter,Air Gear,7
baxter,Baccano!,10
baxter,Beck: Mongolian Chop Squad,9
baxter,Berserk,8
baxter,Black Lagoon,8
baxter,Black Lagoon: The Second Barrage,9
baxter,Blood+,7
baxter,Buso Renkin,6
baxter,Claymore,8
baxter,Code Geass: Lelouch of the Rebellion,10
baxter,Cowboy Bebop,10
baxter,Darker than Black,10
baxter,Death Note,10
baxter,Den-noh Coil,8
baxter,ef - a tale of memories.,7
baxter,Elfen Lied,9
baxter,Ergo Proxy,8
baxter,Fate/stay night,7
baxter,Fighting Spirit,10
baxter,Fighting Spirit: Champion Road,7
baxter,Full Metal Panic!,7
baxter,Full Metal Panic! The Second Raid,8
baxter,Full Metal Panic? Fumoffu,8
baxter,Fullmetal Alchemist,10
baxter,Ghost Hunt,9
baxter,Ghost in the Shell: Stand Alone Complex,7
baxter,Ghost in the Shell: Stand Alone Complex 2nd GIG,9
baxter,Great Teacher Onizuka,10
baxter,Gungrave,9
baxter,Gurren Lagann,10
baxter,Hellsing,8
baxter,Higurashi: When They Cry,6
baxter,Higurashi: When They Cry – Kai,8
baxter,Hunter x Hunter,9
baxter,Hunter x Hunter: Greed Island,7
baxter,Initial D First Stage,6
baxter,Initial D Second Stage,7
baxter,Initial D Third Stage,7
baxter,Last Exile,8
baxter,Lovely Complex,7
baxter,Major S1,8
baxter,Major S2,8
baxter,Major S3,9
baxter,Midori Days,8
baxter,Monster,8
baxter,Moyashimon,8
baxter,Mushi-Shi,10
baxter,Neon Genesis Evangelion,8
baxter,Nodame Cantabile,9
baxter,Ouran High School Host Club,8
baxter,Outlaw Star,6
baxter,Please Teacher!,6
baxter,RahXephon,9
baxter,Rec,9
baxter,Rurouni Kenshin,8
baxter,"Sayonara, Zetsubou-Sensei",7
baxter,School Rumble,7
baxter,School Rumble: 2nd Semester,7
baxter,Slam Dunk,6
baxter,Sola,5
baxter,The Melancholy of Haruhi Suzumiya,9
baxter,The Vision of Escaflowne,7
baxter,Trigun,10
baxter,xxxHOLiC,8
baxter,Yakitate!! Japan,6
baxter,Code Geass: Lelouch of the Rebellion R2,-
baxter,Zoku Sayonara Zetsubou Sensei,-
mistrbily,Revolutionary Girl Utena,9
mistrbily,Samurai Champloo,6
mistrbily,Azumanga Daioh: The Animation,9
mistrbily,Castle in the Sky,8
mistrbily,Cowboy Bebop,10
mistrbily,Death Note,8
mistrbily,Final Fantasy VII: Advent Children,8
mistrbily,Fullmetal Alchemist,10
mistrbily,Fullmetal Alchemist: The Movie - Conqueror of Shamballa,9
mistrbily,Gankutsuou: The Count of Monte Cristo,8
mistrbily,Hellsing,9
mistrbily,Hikaru no Go,7
mistrbily,Howl's Moving Castle,9
mistrbily,Princess Mononoke,8
mistrbily,Spirited Away,7
mistrbily,Tales of Eternia,7
mistrbily,The Animatrix,8
mistrbily,Trigun,9
mistrbily,Yu☆Gi☆Oh!,7
mistrbily,Bleach,6
mistrbily,Naruto,7
mistrbily,Saiyuki,8
mistrbily,Saiyuki Reload,-
Saiyaou,Golden Boy,10
Saiyaou,Azumanga Daioh: The Animation,10
Saiyaou,Blood: The Last Vampire,5
Saiyaou,Elfen Lied,6
Saiyaou,Nana,10
Saiyaou,Chobits,1
Saiyaou,Naruto,5
Saiyaou,Bludgeoning Angel Dokuro-chan,-
Saiyaou,Hellsing,-
aimiri-chan,Bleach,9
aimiri-chan,Bleach the Movie: Memories of Nobody,10
aimiri-chan,Vampire Knight,10
Geech,Clannad,9
Geech,Darker than Black: Gemini of the Meteor,9
Geech,Macross Plus,8
Geech,5 Centimeters per Second,10
Geech,∀ Gundam,9
Geech,Black Lagoon,9
Geech,Blood+,8
Geech,Claymore,7
Geech,Code Geass: Lelouch of the Rebellion,-
Geech,Code Geass: Lelouch of the Rebellion R2,9
Geech,Darker than Black,9
Geech,Death Note,10
Geech,Elfen Lied,9
Geech,Eureka Seven,-
Geech,FLCL,10
Geech,Great Teacher Onizuka,8
Geech,Gurren Lagann,10
Geech,Hell Girl,7
Geech,Higurashi: When They Cry,9
Geech,Mobile Suit Gundam,9
