title,score,genres,ranked,popularity,members,favorites
Maria-sama ga Miteru 3rd,7.79,"Drama, Girls Love, School, Shoujo",#1041,#4701,"23,677",100
Meitantei Conan Movie 07: Meikyuu no Crossroad,7.79,"Adventure, Comedy, Mystery, Detective, Shounen",#1042,#3134,"53,845",38
Meitantei Conan Movie 09: Suihei Senjou no Strategy,7.79,"Adventure, Comedy, Mystery, Detective, Shounen",#1043,#3202,"51,512",21
Mind Game,7.79,"Adventure, Avant Garde, Award Winning, Comedy, Romance, Adult Cast, Psychological",#1044,#2327,"89,357","1,151"
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,7.79,"Comedy, Romance, Adult Cast, Music, Josei",#1045,#3448,"45,200",35
Saint☆Oniisan (Movie),7.79,"Comedy, Seinen",#1046,#2198,"98,286",468
Aggressive Retsuko (ONA) 3rd Season,7.79,"Comedy, Anthropomorphic, Workplace",#1047,#2271,"93,216",258
Emiya-san Chi no Kyou no Gohan,7.79,"Gourmet, Slice of Life, Iyashikei",#1048,#1734,"136,193",746
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,7.79,"Action, Drama, Sci-Fi, Mecha, Super Power, Shounen",#1049,#4356,"28,027",440
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,7.79,"Drama, Sci-Fi, Adult Cast, Military, Space",#1050,#2340,"88,714",622
Gochuumon wa Usagi desu ka?? Dear My Sister,7.79,"Slice of Life, CGDCT, Iyashikei, Workplace",#1051,#3514,"43,714",132
Igano Kabamaru,7.79,"Action, Adventure, Comedy, Romance, School, Shoujo",#1052,#6213,"11,706",140
Inu-Ou,7.79,"Award Winning, Fantasy, Historical, Music, Performing Arts",#1053,#4146,"31,292",192
Shiguang Dailiren Fanwai Pian: Biwu Zhaoqin,7.79,"Drama, Mystery, Suspense, Adult Cast, Super Power, Time Travel",#1054,#3524,"43,519",105
Shingeki no Kyojin: Chronicle,7.79,"Action, Drama, Suspense, Gore, Military, Survival, Shounen",#1055,#2306,"91,173",235
Taishou Otome Otogibanashi,7.79,"Comedy, Drama, Romance, Historical, Shounen",#1056,#1566,"155,475","1,192"
Tamayura: Sotsugyou Shashin Part 3 - Akogare,7.79,"Slice of Life, CGDCT, Iyashikei",#1057,#6440,"10,763",12
The Last: Naruto the Movie,7.79,"Action, Adventure, Fantasy, Romance, Shounen",#1058,#360,"627,329","2,227"
Tokyo Ghoul,7.79,"Action, Fantasy, Horror, Suspense, Gore, Psychological, Urban Fantasy, Seinen",#1059,#10,"2,887,768","50,838"
Wolf's Rain,7.79,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",#1060,#747,"335,010","5,738"
Yamada-kun to Lv999 no Koi wo Suru,7.79,"Romance, Video Game",#1061,#526,"450,314","4,565"
Yoru no Kurage wa Oyogenai,7.79,"Drama, Music",#1062,#2041,"110,589",837
Yuukoku no Moriarty OVA,7.79,"Mystery, Suspense, Adult Cast, Historical, Psychological, Shounen",#1063,#3563,"42,588",167
Shin Kidou Senki Gundam Wing: Endless Waltz Tokubetsu-hen,7.78,"Action, Drama, Sci-Fi, Mecha, Military, Space",#1064,#2910,"61,935",198
Turn A Gundam,7.78,"Action, Adventure, Award Winning, Drama, Romance, Sci-Fi, Mecha, Military, Space",#1065,#3216,"50,980","1,087"
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,7.78,"Drama, Slice of Life, Mahou Shoujo",#1066,#5607,"15,190",25
Jin-Rou,7.78,"Action, Award Winning, Drama, Romance, Suspense, Adult Cast, Military, Psychological",#1067,#1325,"188,660","2,022"
Jungle wa Itsumo Hare nochi Guu Deluxe,7.78,"Comedy, Slice of Life, Gag Humor, Shounen",#1068,#5967,"12,999",22
Kekkai Sensen & Beyond,7.78,"Action, Fantasy, Super Power, Urban Fantasy, Vampire, Shounen",#1069,#525,"450,709","1,732"
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,7.78,"Comedy, Adult Cast, Detective, Gag Humor, Shounen",#1070,#5060,"19,918",193
Last Exile,7.78,"Action, Adventure, Sci-Fi",#1071,#1390,"178,657","1,870"
Macross F Movie 1: Itsuwari no Utahime,7.78,"Action, Romance, Sci-Fi, Mecha, Military, Music, Space",#1072,#4117,"31,866",56
Meitantei Conan Movie 12: Senritsu no Full Score,7.78,"Adventure, Comedy, Mystery, Detective, Shounen",#1073,#3292,"49,094",24
Psycho-Pass 3: First Inspector,7.78,"Action, Mystery, Sci-Fi, Suspense, Adult Cast, Detective, Psychological",#1074,#2144,"102,242",161
Seikai no Senki II,7.78,"Action, Romance, Sci-Fi, Military, Space",#1075,#4629,"24,662",125
Chuan Shu Zijiu Zhinan,7.78,"Comedy, Drama, Fantasy, Historical, Isekai, Mythology",#1076,#4960,"20,974",519
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,7.78,"Action, Mecha, Military, Super Power",#1077,#3258,"50,015",85
Coquelicot-zaka kara,7.78,"Award Winning, Romance, Historical, School, Shoujo",#1078,#1195,"212,775","1,231"
Digimon Adventure,7.78,"Action, Adventure, Comedy, Fantasy, Isekai, Kids",#1079,#589,"409,382","5,479"
Fanren Xiu Xian Chuan: Xinghai Feichi Pian Xuzhang,7.78,"Action, Adventure, Fantasy, Historical, Martial Arts",#1080,#12353,"1,621",8
"Haikyuu!! vs. ""Akaten""",7.78,"Sports, School, Team Sports, Shounen",#1081,#2214,"97,583",83
Heike Monogatari,7.78,"Drama, Supernatural, Historical, Samurai",#1082,#2424,"84,193",714
Innocence,7.78,"Action, Award Winning, Mystery, Sci-Fi, Suspense, Adult Cast, Detective, Mecha, Military, Psychological, Seinen",#1083,#1475,"167,520","1,059"
Isekai Ojisan,7.78,"Comedy, Fantasy, Adult Cast, Isekai, Otaku Culture, Parody",#1084,#654,"377,962","2,098"
Aria the Crepuscolo,7.77,"Fantasy, Sci-Fi, Slice of Life, Iyashikei, Shounen",#1085,#5875,"13,551",41
Beastars 2nd Season,7.77,"Drama, Suspense, Anthropomorphic, Psychological, School, Shounen",#1086,#513,"456,809","2,227"
Break Blade Movie 3: Kyoujin no Ato,7.77,"Action, Fantasy, Adult Cast, Mecha, Military, Shounen",#1087,#2967,"59,814",28
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",7.77,"Drama, Romance, School",#1088,#945,"267,735",589
Ginga Tetsudou 999,7.77,"Adventure, Drama, Sci-Fi, Space",#1089,#3650,"40,714",480
Gochuumon wa Usagi desu ka??,7.77,"Slice of Life, CGDCT, Iyashikei, Workplace",#1090,#1750,"135,269",868
Hibike! Euphonium Movie 3: Chikai no Finale,7.77,"Drama, Music, Performing Arts, School",#1091,#2564,"76,552",188
Hoozuki no Reitetsu,7.77,"Comedy, Fantasy, Mythology, Seinen",#1092,#1760,"134,370","1,321"
Undead Unluck,7.77,"Action, Comedy, Super Power, Shounen",#1093,#883,"291,642","1,646"
Yuru Yuri Nachuyachumi!+,7.77,"Comedy, Girls Love, CGDCT, Gag Humor",#1094,#3042,"56,902",82
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,7.77,"Action, Comedy, Horror, Suspense, Adult Cast, Gore, Survival, Seinen",#1095,#388,"584,887","4,063"
Lupin III: Part II,7.77,"Action, Adventure, Comedy, Mystery, Adult Cast, Seinen",#1096,#3851,"36,459",384
Magic Kaito,7.77,"Adventure, Comedy, Romance, Shounen",#1097,#2592,"75,312",353
One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,7.77,"Action, Adventure, Drama, Fantasy, Shounen",#1098,#2014,"112,415",470
Pokemon XY&Z,7.77,"Action, Adventure, Comedy, Fantasy, Kids",#1099,#1613,"149,981","1,149"
Saiyuuki Gaiden,7.77,"Action, Adventure, Drama, Fantasy, Mythology, Shounen",#1100,#5777,"14,094",74
Seitokai Yakuindomo Movie 2,7.77,"Comedy, Gag Humor, School, Shounen",#1101,#3984,"33,987",51
Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),7.76,"Action, Fantasy, Mystery, Romance, Suspense, Urban Fantasy",#1102,#1027,"246,005",468
Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e,7.76,"Sports, School, Team Sports, Shounen",#1103,#3712,"39,434",29
Love Live! School Idol Project 2nd Season,7.76,"Award Winning, Slice of Life, Idols (Female), Music, School",#1104,#967,"263,390","2,742"
Lupin the Third: Mine Fujiko to Iu Onna,7.76,"Action, Adventure, Award Winning, Comedy, Ecchi, Adult Cast, Samurai, Seinen",#1105,#2806,"65,834",497
Mahoutsukai no Yome Season 2,7.76,"Drama, Fantasy, Romance, Mythology, School, Urban Fantasy, Shounen",#1106,#1298,"193,397","1,041"
Meitantei Conan Movie 24: Hiiro no Dangan,7.76,"Action, Comedy, Drama, Mystery, Detective, Shounen",#1107,#4776,"22,870",95
Monogatari Series: Off & Monster Season - Zankoku Douwa: Utsukushi-hime,7.76,"Mystery, Supernatural, Suspense, Psychological, Vampire",#1108,#7908,"6,507",2
Ranma ½,7.76,"Action, Comedy, Romance, Ecchi, Magical Sex Shift, Martial Arts, School, Shounen",#1109,#956,"265,189","4,357"
Saenai Heroine no Sodatekata ♭,7.76,"Comedy, Romance, Ecchi, Harem, Otaku Culture, School",#1110,#652,"378,858","1,724"
Saint Seiya,7.76,"Action, Adventure, Fantasy, Sci-Fi, Mythology, Shounen",#1111,#1297,"193,451","4,122"
Saint Seiya: Meiou Hades Meikai-hen,7.76,"Action, Adventure, Fantasy, Sci-Fi, Mythology, Shounen",#1112,#3181,"52,181",170
Akagami no Shirayuki-hime,7.76,"Drama, Romance, Medical, Shoujo",#1113,#306,"696,745","7,928"
Bishoujo Senshi Sailor Moon Crystal Season III,7.76,"Romance, Mahou Shoujo, Shoujo",#1114,#2870,"63,672",372
Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma,7.76,"Romance, Mahou Shoujo, Shoujo",#1115,#3483,"44,380",89
Date A Live IV,7.76,"Action, Fantasy, Romance, Sci-Fi, Harem, School",#1116,#952,"266,501","3,423"
Edogawa Conan Shissou Jiken: Shijou Saiaku no Futsukakan,7.76,"Adventure, Comedy, Mystery, Detective, Shounen",#1117,#5890,"13,453",8
Gochuumon wa Usagi desu ka?? Sing for You,7.76,"Slice of Life, CGDCT, Iyashikei, Workplace",#1118,#4412,"27,387",96
Hadashi no Gen,7.76,"Award Winning, Drama, Historical, Shounen",#1119,#3058,"56,279",178
Hidamari Sketch x SP,7.76,"Slice of Life, CGDCT, Iyashikei, School, Visual Arts",#1120,#5527,"15,788",12
"Tadaima, Okaeri",7.76,"Boys Love, Slice of Life, Childcare",#1121,#3833,"36,828",328
Tentai Senshi Sunred,7.76,"Comedy, Gag Humor, Parody, Super Power, Seinen",#1122,#4794,"22,711",203
Texhnolyze,7.76,"Avant Garde, Drama, Mystery, Sci-Fi, Suspense, Adult Cast, Organized Crime, Psychological",#1123,#973,"261,976","5,195"
Tianbao Fuyao Lu 2nd Season,7.76,"Action, Adventure, Comedy, Fantasy, Historical, Mythology",#1124,#9154,"4,449",42
Tomo-chan wa Onnanoko!,7.76,"Comedy, Romance, School",#1125,#554,"433,175","3,019"
Tonikaku Kawaii: Joshikou-hen,7.76,"Comedy, Romance, Shounen",#1126,#2883,"62,980",165
Zan Sayonara Zetsubou Sensei Bangaichi,7.76,"Comedy, Gag Humor, Parody, School, Shounen",#1127,#3619,"41,334",34
Sekaiichi Hatsukoi: Valentine-hen,7.75,"Boys Love, Adult Cast, Workplace",#1128,#3573,"42,455",63
Shiki Specials,7.75,"Horror, Mystery, Supernatural, Suspense, Gore, Psychological, Vampire, Shounen",#1129,#2638,"72,999",85
Taiyou no Ko Esteban,7.75,"Adventure, Sci-Fi, Historical",#1130,#5724,"14,436",121
Wind Breaker,7.75,"Action, Delinquents, School",#1131,#792,"317,682","2,435"
Xingchen Bian 5th Season,7.75,"Action, Adventure, Fantasy, Romance, Martial Arts",#1132,#11422,"2,177",29
Kidou Senshi Gundam,7.75,"Action, Drama, Sci-Fi, Mecha, Military, Space",#1133,#1716,"138,474","2,316"
Kidou Senshi Gundam III: Meguriai Sora-hen,7.75,"Action, Adventure, Drama, Sci-Fi, Mecha, Military, Space",#1134,#3829,"36,927",160
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,7.75,"Comedy, Romance, Harem, Parody, School, Seinen",#1135,#1021,"247,054","2,377"
Kubikiri Cycle: Aoiro Savant to Zaregotozukai,7.75,"Drama, Mystery, Supernatural, Adult Cast",#1136,#2073,"107,791",881
Kumichou Musume to Sewagakari,7.75,"Slice of Life, Childcare, Organized Crime",#1137,#1082,"235,337","1,129"
Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari,7.75,"Sports, School, Team Sports, Shounen",#1138,#3502,"44,037",36
Liang Bu Yi,7.75,"Comedy, Romance, Historical",#1139,#6245,"11,567",117
Lucky☆Star,7.75,"Comedy, CGDCT, Gag Humor, Otaku Culture, School",#1140,#331,"664,439","12,534"
Lupin III vs. Meitantei Conan,7.75,"Action, Adventure, Comedy, Mystery, Shounen",#1141,#3825,"37,115",44
Maria-sama ga Miteru 4th,7.75,"Drama, Girls Love, School, Shoujo",#1142,#4718,"23,531",99
Meitantei Conan OVA 10: Kid in Trap Island,7.75,"Adventure, Comedy, Mystery, Detective, Shounen",#1143,#5150,"19,035",22
Ni Tian Xieshen,7.75,"Action, Fantasy, Historical, Martial Arts",#1144,#12446,"1,563",14
Overlord II,7.75,"Action, Adventure, Fantasy, Isekai",#1145,#154,"1,060,619","4,577"
Princess Connect! Re:Dive Season 2,7.75,"Adventure, Comedy, Fantasy, Gourmet",#1146,#1778,"132,368",830
Saraiya Goyou,7.75,"Drama, Adult Cast, Historical, Samurai, Seinen",#1147,#2245,"95,469",864
Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,7.75,"Drama, Romance, Supernatural, School",#1148,#1755,"134,683",562
Seitokai Yakuindomo OVA,7.75,"Comedy, Gag Humor, School, Shounen",#1149,#1785,"131,816",122
Charlotte,7.75,"Drama, School, Super Power",#1150,#65,"1,656,606","23,667"
City Hunter '91,7.75,"Action, Comedy, Mystery, Shounen",#1151,#4526,"25,933",70
Devilman: Crybaby,7.75,"Action, Avant Garde, Horror, Supernatural, Gore, Mythology, Shounen",#1152,#125,"1,189,238","24,755"
Dragon Ball Kai,7.75,"Action, Adventure, Comedy, Fantasy, Martial Arts, Super Power, Shounen",#1153,#597,"405,175","3,578"
Gakkou no Kaidan,7.75,"Horror, Mystery, Supernatural",#1154,#1122,"226,531","2,212"
Gakuen Babysitters Special,7.75,"Slice of Life, Childcare, Iyashikei, Shoujo",#1155,#3437,"45,472",53
High Score Girl,7.75,"Comedy, Love Polygon, Love Status Quo, School, Video Game, Seinen",#1156,#955,"265,435","2,889"
BanG Dream! Garupa☆Pico,7.74,"Comedy, Music",#1157,#4769,"22,992",135
Bishoujo Senshi Sailor Moon,7.74,"Romance, Mahou Shoujo, Mythology, Shoujo",#1158,#620,"393,646","10,596"
Bishoujo Senshi Sailor Moon Eternal Movie 2,7.74,"Romance, Mahou Shoujo, Shoujo",#1159,#4419,"27,272",111
Colorful (Movie),7.74,"Award Winning, Drama, Reincarnation",#1160,#1239,"203,165","1,261"
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,7.74,"Action, Adventure, Fantasy",#1161,#684,"360,447","2,095"
Fanren Xiu Xian Chuan,7.74,"Action, Adventure, Fantasy, Historical",#1162,#7935,"6,441",57
Fate/Grand Carnival,7.74,"Comedy, Fantasy, Parody",#1163,#3024,"57,631",244
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,7.74,"Action, Fantasy, Isekai",#1164,#2507,"79,793",400
Free! Movie 4: The Final Stroke - Zenpen,7.74,"Sports, School",#1165,#2934,"61,059",211
Free! Take Your Marks,7.74,"Slice of Life, School",#1166,#2374,"86,259",155
Genshiken 2,7.74,"Slice of Life, Adult Cast, Otaku Culture, Parody, Seinen",#1167,#2403,"85,079",215
Ghost Hunt,7.74,"Horror, Mystery, Supernatural, Shoujo",#1168,#1087,"234,941","3,043"
Golden Time,7.74,"Drama, Romance, Adult Cast, Love Polygon",#1169,#149,"1,070,905","13,585"
Grisaia no Rakuen,7.74,"Drama, Romance, Suspense, Harem, Psychological",#1170,#570,"419,593","2,057"
Gundam Build Fighters,7.74,"Action, Sci-Fi, Mecha",#1171,#2549,"77,342",670
Higashi no Eden,7.74,"Award Winning, Mystery, Romance, Sci-Fi, Suspense, Adult Cast, Psychological",#1172,#395,"575,745","4,217"
Huangjin Tingyuan: Dongri Li de Xinnian Yuanwang,7.74,Comedy,#1173,#9938,"3,436",49
Inazuma Eleven,7.74,"Sports, Super Power, Team Sports",#1174,#1141,"223,400","4,375"
InuYasha: Kuroi Tessaiga,7.74,"Action, Adventure, Fantasy, Romance, Historical, Mythology, Time Travel, Shounen",#1175,#3759,"38,471",72
Shokugeki no Souma: Shin no Sara,7.74,"Gourmet, Ecchi, School, Shounen",#1176,#354,"635,054","1,377"
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,7.74,"Slice of Life, CGDCT, Iyashikei",#1177,#6349,"11,150",11
Udon no Kuni no Kiniro Kemari,7.74,"Slice of Life, Supernatural, Anthropomorphic, Childcare, Iyashikei, Seinen",#1178,#1719,"138,188",667
Kidou Senshi Gundam SEED,7.74,"Action, Award Winning, Drama, Romance, Sci-Fi, Mecha, Military, Space",#1179,#1401,"175,987","3,626"
Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,7.74,"Adventure, Drama, Fantasy",#1180,#2992,"58,779",49
Kuroko no Basket: Last Game NG-shuu,7.74,"Comedy, Sports, Team Sports, Shounen",#1181,#3898,"35,350",42
Little Witch Academia: Mahoujikake no Parade,7.74,"Adventure, Comedy, Fantasy, School",#1182,#1418,"173,564",326
Mairimashita! Iruma-kun,7.74,"Comedy, Fantasy, Isekai, School, Shounen",#1183,#450,"514,845","4,522"
Master Keaton OVA,7.74,"Adventure, Drama, Mystery, Adult Cast, Historical, Seinen",#1184,#6368,"11,057",19
Saiyuuki Reload: Burial,7.74,"Action, Adventure, Drama, Fantasy, Mythology, Shoujo",#1185,#5847,"13,696",46
JoJo no Kimyou na Bouken: Phantom Blood,7.73,"Action, Adventure, Horror, Vampire, Shounen",#1186,#2686,"71,122",619
Kageki Shoujo!!,7.73,"Drama, Performing Arts, School, Shoujo",#1187,#2369,"86,699",511
Kokoro Connect,7.73,"Drama, Romance, Supernatural, Love Polygon, School",#1188,#221,"850,896","7,902"
Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,7.73,"Action, Mystery, Sci-Fi, Adult Cast, Detective, Mecha, Military, Seinen",#1189,#5423,"16,543",18
Madogiwa no Totto-chan,7.73,"Drama, Historical, School",#1190,#10467,"2,915",7
Meitantei Conan Movie 19: Gouka no Himawari,7.73,"Action, Mystery, Detective, Shounen",#1191,#3620,"41,292",54
Migi to Dali,7.73,"Comedy, Mystery, Suspense, Seinen",#1192,#2390,"85,806",562
Panty & Stocking with Garterbelt,7.73,"Action, Comedy, Fantasy, Ecchi, Gag Humor, Parody",#1193,#593,"406,978","6,134"
Pokemon: The Origin,7.73,"Action, Adventure, Comedy, Fantasy, Kids",#1194,#1069,"236,916",683
Ranma ½ OVA,7.73,"Action, Comedy, Romance, Ecchi, Magical Sex Shift, Martial Arts, Shounen",#1195,#3924,"34,926",77
Aggressive Retsuko (ONA) 2nd Season,7.73,"Comedy, Anthropomorphic, Workplace",#1196,#1905,"120,799",250
Ani ni Tsukeru Kusuri wa Nai! 2,7.73,"Comedy, School",#1197,#3161,"52,792",92
BanG Dream! Garupa☆Pico: Oomori,7.73,"Comedy, Music",#1198,#6080,"12,403",59
Bishoujo Senshi Sailor Moon R,7.73,"Romance, Mahou Shoujo, Shoujo",#1199,#1503,"163,811",872
Black Jack,7.73,"Drama, Mystery, Suspense, Medical, Psychological, Shounen",#1200,#3593,"42,058",368
Change!! Getter Robo: Sekai Saigo no Hi,7.73,"Action, Adventure, Horror, Sci-Fi, Mecha, Psychological, Shounen",#1201,#5411,"16,716",381
Claymore,7.73,"Action, Adventure, Fantasy, Gore, Shounen",#1202,#313,"687,611","8,521"
Da Zhu Zai Nian Fan,7.73,"Action, Adventure, Fantasy, Romance, Historical, Martial Arts",#1203,#11262,"2,278",22
Dragon Quest: Dai no Daibouken (2020),7.73,"Action, Adventure, Fantasy, Shounen",#1204,#2583,"75,600",630
Free! Movie 3: Road to the World - Yume,7.73,"Sports, School",#1205,#4238,"29,654",43
Hug tto! Precure♡Futari wa Precure Movie: All Stars Memories,7.73,"Action, Mahou Shoujo",#1206,#8854,"4,941",21
Shaman King,7.73,"Action, Adventure, Supernatural, Shounen",#1207,#665,"372,238","3,707"
Shin Kidou Senki Gundam Wing: Endless Waltz,7.73,"Action, Award Winning, Drama, Sci-Fi, Mecha, Military, Space",#1208,#3270,"49,621",182
Tantei Gakuen Q,7.73,"Comedy, Drama, Mystery, Detective, Shounen",#1209,#3858,"36,379",265
Toshokan Sensou: Kakumei no Tsubasa,7.73,"Action, Comedy, Romance, Adult Cast, Military",#1210,#4613,"24,872",43
Watashi no Shiawase na Kekkon,7.73,"Drama, Fantasy, Romance, Adult Cast, Historical",#1211,#826,"308,460","2,953"
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",7.73,"Comedy, Romance, Love Polygon, School",#1212,#1971,"115,623",551
Shiki,7.72,"Horror, Mystery, Supernatural, Suspense, Gore, Psychological, Vampire, Shounen",#1213,#368,"615,151","8,528"
Sidonia no Kishi: Daikyuu Wakusei Seneki,7.72,"Action, Sci-Fi, Mecha, Space, Seinen",#1214,#1899,"121,138",350
Slayers,7.72,"Action, Adventure, Comedy, Fantasy",#1215,#1645,"146,450","2,009"
Tomodachi Game,7.72,"Suspense, High Stakes Game, Psychological, Strategy Game, Shounen",#1216,#560,"427,116","4,180"
Tonikaku Kawaii: Seifuku,7.72,"Comedy, Romance, Shounen",#1217,#2185,"99,612",356
Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,7.72,"Action, Award Winning, Drama, Sci-Fi, Adult Cast, Military, Space",#1218,#5641,"15,007",18
Ueki no Housoku,7.72,"Action, Adventure, Supernatural, Super Power, Shounen",#1219,#1910,"120,097",895
Kyou kara Maou! 3rd Series,7.72,"Adventure, Comedy, Fantasy, Isekai, Shoujo",#1220,#3873,"35,983",119
Kyoukai no Kanata,7.72,"Action, Supernatural, School",#1221,#124,"1,192,517","12,020"
Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,7.72,"Action, Supernatural, School",#1222,#1453,"169,776",259
Memories,7.72,"Award Winning, Drama, Horror, Sci-Fi, Suspense, Military, Psychological, Space",#1223,#1688,"141,475",824
Mujin Wakusei Survive,7.72,"Action, Adventure, Fantasy, Sci-Fi, Slice of Life",#1224,#4148,"31,178",321
Neko no Ongaeshi,7.72,"Adventure, Award Winning, Drama, Fantasy, Anthropomorphic",#1225,#896,"285,966","1,593"
