title,score,genres,ranked,popularity,members,favorites
New Initial D Movie: Legend 2 - Tousou,7.81,"Racing, Seinen",#1001,#4067,"32,780",48
Oomuro-ke: Dear Sisters,7.81,"Comedy, Girls Love, CGDCT, School",#1002,#5606,"15,195",72
Overlord Movie 3: Sei Oukoku-hen,7.8,"Action, Adventure, Fantasy, Isekai",#1003,#2737,"68,724",284
Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,7.81,"Action, Sci-Fi, Seinen",#1004,#4106,"32,088",126
Beastars,7.81,"Drama, Suspense, Anthropomorphic, Psychological, School, Shounen",#1005,#208,"882,376","9,808"
Bishoujo Senshi Sailor Moon Cosmos Movie,7.81,"Mahou Shoujo, Shoujo",#1005,#5927,"13,253",114
Bungou Stray Dogs,7.81,"Action, Mystery, Adult Cast, Detective, Organized Crime, Super Power, Seinen",#1007,#90,"1,442,974","27,895"
Capeta,7.81,"Sports, Racing, Shounen",#1007,#4321,"28,450",308
Free! Movie 5: The Final Stroke - Kouhen,7.81,"Sports, School",#1008,#4094,"32,426",207
Goku Sayonara Zetsubou Sensei,7.81,"Comedy, Gag Humor, Parody, School, Shounen",#1010,#2807,"65,808",86
Haikyuu!! (OVA),7.81,"Sports, Team Sports, Shounen",#1010,#4011,"33,603",61
Akage no Anne,7.8,"Drama, Historical",#1011,#3920,"34,976",851
Baby Steps,7.8,"Sports, School, Shounen",#1013,#1618,"149,448",847
Blue Period,7.8,"Drama, School, Visual Arts, Seinen",#1014,#483,"486,056","6,324"
Break Blade Movie 5: Shisen no Hate,7.8,"Action, Fantasy, Adult Cast, Mecha, Military, Shounen",#1015,#3056,"56,352",28
City Hunter 3,7.8,"Action, Comedy, Mystery, Shounen",#1015,#4775,"22,934",51
Crayon Shin-chan,7.8,"Comedy, Ecchi, School, Seinen",#1017,#2362,"86,913","1,313"
Digimon Adventure: Bokura no War Game!,7.8,"Adventure, Comedy, Sci-Fi, Kids",#1018,#2479,"81,231",367
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,7.8,"Adventure, Drama, Fantasy, Shounen",#1019,#1978,"115,092",194
Eikoku Koi Monogatari Emma: Molders-hen,7.8,"Drama, Romance, Adult Cast, Historical, Seinen",#1020,#4308,"28,641",113
Flanders no Inu (Movie),7.8,"Drama, Historical, Pets, Visual Arts",#1021,#4756,"23,109",81
Go! Princess Precure,7.8,"Action, Comedy, Mahou Shoujo, School",#1022,#5062,"19,908",348
Hidamari Sketch x ☆☆☆ Specials,7.8,"Slice of Life, CGDCT, Iyashikei, School, Visual Arts",#1023,#5515,"15,878",9
InuYasha Movie 3: Tenka Hadou no Ken,7.8,"Action, Adventure, Fantasy, Romance, Historical, Mythology, Time Travel, Shounen",#1024,#2119,"104,041",217
Shadows House,7.8,"Fantasy, Mystery, Seinen",#1025,#983,"259,841","2,071"
Slayers Try,7.8,"Action, Adventure, Comedy, Fantasy",#1026,#3049,"56,551",235
Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,7.8,"Action, Mahou Shoujo",#1027,#8956,"4,751",19
Jungle wa Itsumo Hare nochi Guu,7.8,"Comedy, Slice of Life, Gag Humor, School, Shounen",#1027,#3909,"35,214",424
Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu,7.8,"Fantasy, Slice of Life",#1029,#2545,"77,397",291
Kokoro ga Sakebitagatterunda.,7.8,"Drama, Romance, Performing Arts, School",#1030,#735,"339,336","1,947"
Love Live! Superstar!! 3rd Season,7.8,"Slice of Life, Idols (Female), Music, School",#1031,#5563,"15,476",66
Lucky☆Star: Original na Visual to Animation,7.8,"Comedy, CGDCT, School, Video Game",#1031,#1743,"135,470",219
Lupin the IIIrd: Jigen Daisuke no Bohyou,7.8,"Action, Adventure, Drama, Adult Cast, Seinen",#1033,#4187,"30,512",92
Mahoujin Guruguru (2017),7.8,"Adventure, Comedy, Fantasy, Parody, Shounen",#1034,#3988,"33,938",240
New Initial D Movie: Legend 1 - Kakusei,7.8,"Action, Racing, Seinen",#1034,#3670,"40,469",84
Planetarian: Hoshi no Hito,7.8,"Drama, Sci-Fi",#1036,#3229,"50,792",216
Jormungand,7.79,"Action, Adventure, Adult Cast, Military, Organized Crime, Seinen",#1037,#659,"375,101","3,133"
Kuroko no Basket: Tip Off,7.79,"Sports, School, Team Sports, Shounen",#1038,#2078,"107,247",87
Little Witch Academia,7.79,"Adventure, Comedy, Fantasy, School",#1039,#797,"316,483","1,358"
Magi: Sinbad no Bouken,7.79,"Action, Adventure, Fantasy, Shounen",#1040,#1705,"139,599",260
