rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
2100,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,7.45,https://myanimelist.net/anime/16005/Zettai_Karen_Children__The_Unlimited_-_Hyoubu_Kyousuke,7.45,#2101,#1556,"157,386",456,"Action, Super Power, Shounen"
2101,Kaleido Star: Aratanaru Tsubasa - Extra Stage,7.45,https://myanimelist.net/anime/428/Kaleido_Star__Aratanaru_Tsubasa_-_Extra_Stage,7.45,#2102,#5662,"14,827",13,"Adventure, Comedy, Drama, Performing Arts"
2102,Kara no Kyoukai Movie: Mirai Fukuin - Extra Chorus,7.45,https://myanimelist.net/anime/22763/Kara_no_Kyoukai_Movie__Mirai_Fukuin_-_Extra_Chorus,7.45,#2103,#3213,"51,116",43,"Drama, Mystery, Supernatural"
2103,Kengan Ashura,7.45,https://myanimelist.net/anime/36903/Kengan_Ashura,7.45,#2104,#1426,"172,903","1,054","Action, Martial Arts"
2104,Kin no Kuni Mizu no Kuni,7.45,https://myanimelist.net/anime/52186/Kin_no_Kuni_Mizu_no_Kuni,7.45,#2105,#6412,"10,880",23,"Fantasy, Romance, Josei"
2105,Kiratto Pri☆chan Season 2,7.45,https://myanimelist.net/anime/38804/Kiratto_Pri☆chan_Season_2,7.45,#2106,#9914,"3,463",31,"Comedy, Slice of Life, Idols (Female), Music"
2106,Kishuku Gakkou no Juliet,7.45,https://myanimelist.net/anime/37475/Kishuku_Gakkou_no_Juliet,7.45,#2107,#638,"384,998","2,046","Action, Comedy, Romance, School, Shounen"
2107,"Kumo desu ga, Nani ka?",7.45,https://myanimelist.net/anime/37984/Kumo_desu_ga_Nani_ka,7.45,#2108,#506,"463,346","4,500","Action, Adventure, Comedy, Fantasy, Mystery, Isekai, Reincarnation"
2108,Kyuuketsuki Sugu Shinu 2,7.45,https://myanimelist.net/anime/50287/Kyuuketsuki_Sugu_Shinu_2,7.45,#2109,#3895,"35,422",121,"Comedy, Fantasy, Adult Cast, Gag Humor, Urban Fantasy, Vampire, Shounen"
2109,Lady Jewelpet,7.45,https://myanimelist.net/anime/22693/Lady_Jewelpet,7.45,#2110,#6114,"12,249",102,"Fantasy, Romance, Anthropomorphic, Mahou Shoujo"
