rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
2300,Mai-HiME,7.40,https://myanimelist.net/anime/98/Mai-HiME,7.40,#2301,#1938,"117,917","1,141","Action, Fantasy, Girls Love, Mahou Shoujo, School"
2301,Meitantei Conan OVA 11: London kara no Maru Hi Shirei,7.40,https://myanimelist.net/anime/10703/Meitantei_Conan_OVA_11__London_kara_no_Maru_Hi_Shirei,7.40,#2302,#5865,"13,620",2,"Adventure, Comedy, Mystery, Detective, Shounen"
2302,Meitantei Conan: Hiiro no Fuzai Shoumei,7.40,https://myanimelist.net/anime/47413/Meitantei_Conan__Hiiro_no_Fuzai_Shoumei,7.40,#2303,#7597,"7,168",33,"Action, Comedy, Drama, Mystery, Detective, Shounen"
2303,"New Game! Watashi, Shain Ryokou tte Hajimete nanode...",7.40,https://myanimelist.net/anime/34277/New_Game_Watashi_Shain_Ryokou_tte_Hajimete_nanode,7.40,#2304,#2562,"76,823",46,"Comedy, Adult Cast, CGDCT"
2304,Nichijou: Nichijou no 0-wa,7.40,https://myanimelist.net/anime/8857/Nichijou__Nichijou_no_0-wa,7.40,#2305,#2344,"88,131",60,"Comedy, Gag Humor, School, Shounen"
2305,One Punch Man 2nd Season Specials,7.40,https://myanimelist.net/anime/39705/One_Punch_Man_2nd_Season_Specials,7.40,#2306,#1735,"135,983",152,"Action, Comedy, Adult Cast, Parody, Super Power, Seinen"
2306,Osomatsu-san 3rd Season,7.40,https://myanimelist.net/anime/42391/Osomatsu-san_3rd_Season,7.40,#2307,#4691,"23,788",110,"Comedy, Gag Humor, Parody"
2307,Pokemon,7.40,https://myanimelist.net/anime/527/Pokemon,7.40,#2308,#343,"646,474","5,494","Action, Adventure, Comedy, Fantasy, Kids"
2308,Pokemon (2023),7.40,https://myanimelist.net/anime/53876/Pokemon_2023,7.40,#2309,#4001,"33,748",315,"Action, Adventure, Comedy, Fantasy, Kids"
2309,Pokemon Legends Arceus: Yuki Hodo Kishi Futaai,7.40,https://myanimelist.net/anime/51145/Pokemon_Legends_Arceus__Yuki_Hodo_Kishi_Futaai,7.40,#2310,#5330,"17,352",55,"Action, Adventure, Fantasy, Kids"
2310,Psycho-Pass 2,7.40,https://myanimelist.net/anime/23281/Psycho-Pass_2,7.40,#2311,#328,"668,014","1,503","Action, Mystery, Sci-Fi, Suspense, Adult Cast, Detective, Psychological"
2311,Puchi Pri*Yucie,7.40,https://myanimelist.net/anime/327/Puchi_PriYucie,7.40,#2312,#5475,"16,210",94,"Comedy, Fantasy"
2312,Renou Xueyuan,7.40,https://myanimelist.net/anime/49275/Renou_Xueyuan,7.40,#2313,#11370,"2,208",17,Comedy
2313,Rozen Maiden,7.40,https://myanimelist.net/anime/64/Rozen_Maiden,7.40,#2314,#1207,"209,663","2,007","Action, Comedy, Drama, Fantasy, Seinen"
2314,Saki: Zenkoku-hen,7.40,https://myanimelist.net/anime/16123/Saki__Zenkoku-hen,7.40,#2315,#3807,"37,465",126,"Slice of Life, School, Strategy Game, Seinen"
2315,Ano Natsu de Matteru,7.40,https://myanimelist.net/anime/11433/Ano_Natsu_de_Matteru,7.40,#2316,#619,"393,949","2,064","Drama, Romance, Sci-Fi, Love Polygon"
2316,"Benriya Saitou-san, Isekai ni Iku",7.40,https://myanimelist.net/anime/50854/Benriya_Saitou-san_Isekai_ni_Iku,7.40,#2317,#1316,"189,936",729,"Adventure, Comedy, Fantasy, Isekai"
2317,Bleach: Sennen Kessen-hen - Ketsubetsu-tan Recap,7.40,https://myanimelist.net/anime/56442/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan_Recap,7.40,#2318,#9429,"4,057",16,"Action, Adventure, Fantasy, Shounen"
2318,Brave Story,7.40,https://myanimelist.net/anime/1681/Brave_Story,7.40,#2319,#3432,"45,547",187,"Action, Adventure, Fantasy, Isekai"
2319,Cang Lan Jue Part 2,7.40,https://myanimelist.net/anime/53905/Cang_Lan_Jue_Part_2,7.40,#2320,#11952,"1,862",8,"Comedy, Fantasy, Romance, Historical"
2320,Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,7.40,https://myanimelist.net/anime/6460/Crayon_Shin-chan_Movie_05__Ankoku_Tamatama_Daitsuiseki,7.40,#2321,#7186,"8,287",14,"Action, Adventure, Comedy, Seinen"
2321,"Donten ni Warau Gaiden: Ketsubetsu, Yamainu no Chikai",7.40,https://myanimelist.net/anime/35086/Donten_ni_Warau_Gaiden__Ketsubetsu_Yamainu_no_Chikai,7.40,#2322,#5273,"17,863",31,"Action, Supernatural, Historical"
2322,Gantz:O,7.40,https://myanimelist.net/anime/32071/Gantz_O,7.40,#2323,#2139,"102,638",362,"Action, Drama, Horror, Sci-Fi, Suspense, Gore, High Stakes Game, Psychological, Survival, Seinen"
2323,Goukon ni Ittara Onna ga Inakatta Hanashi,7.40,https://myanimelist.net/anime/56843/Goukon_ni_Ittara_Onna_ga_Inakatta_Hanashi,7.40,#2324,#4122,"31,785",122,"Comedy, Romance, Adult Cast, Crossdressing"
2324,Grimm Meisaku Gekijou,7.40,https://myanimelist.net/anime/4060/Grimm_Meisaku_Gekijou,7.40,#2325,#8448,"5,578",30,"Adventure, Comedy, Fantasy, Kids"
