rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
4600,Danganronpa 3: Monokuma Gekijou,6.94,https://myanimelist.net/anime/37103/Danganronpa_3__Monokuma_Gekijou,6.94,#4601,#4161,"30,890",78,"Comedy, Parody"
4601,Ensemble Stars!,6.94,https://myanimelist.net/anime/32212/Ensemble_Stars,6.94,#4602,#3257,"50,031",686,"Idols (Male), Music, School"
4602,Furusato Saisei: Nippon no Mukashibanashi,6.94,https://myanimelist.net/anime/13163/Furusato_Saisei__Nippon_no_Mukashibanashi,6.94,#4603,#6363,"11,076",25,"Supernatural, Historical, Kids"
4603,Gegege no Kitarou (2007),6.94,https://myanimelist.net/anime/2165/Gegege_no_Kitarou_2007,6.94,#4604,#7879,"6,600",13,"Comedy, Fantasy, Horror"
4604,Hakumei no Tsubasa: Expansion - Hoshi no Matsuri,6.94,https://myanimelist.net/anime/43568/Hakumei_no_Tsubasa__Expansion_-_Hoshi_no_Matsuri,6.94,#4605,#7855,"6,641",1,"Fantasy, Kids"
4605,A-Channel,6.93,https://myanimelist.net/anime/9776/A-Channel,6.93,#4606,#2151,"101,923",303,"Comedy, CGDCT, School"
4606,Aki no Kanade,6.93,https://myanimelist.net/anime/29513/Aki_no_Kanade,6.93,#4607,#4791,"22,755",25,"Slice of Life, Music, School"
4607,Batman: Gotham Knight,6.93,https://myanimelist.net/anime/4094/Batman__Gotham_Knight,6.93,#4608,#4175,"30,710",67,"Action, Adventure, Martial Arts"
4608,Biohazard: Degeneration,6.93,https://myanimelist.net/anime/3446/Biohazard__Degeneration,6.93,#4609,#3794,"37,790",48,"Action, Horror, Sci-Fi"
4609,Bouken Ou Beet,6.93,https://myanimelist.net/anime/8/Bouken_Ou_Beet,6.93,#4610,#5499,"16,022",16,"Action, Adventure, Fantasy, Shounen"
4610,Chobits Recap,6.93,https://myanimelist.net/anime/1311/Chobits_Recap,6.93,#4611,#3756,"38,516",41,"Comedy, Drama, Romance, Sci-Fi, Ecchi"
4611,Chuunibyou demo Koi ga Shitai! Movie: Take On Me Mini-Drama - Koukai Chokuzen no... Kaiko Gekijou,6.93,https://myanimelist.net/anime/36855/Chuunibyou_demo_Koi_ga_Shitai_Movie__Take_On_Me_Mini-Drama_-_Koukai_Chokuzen_no_Kaiko_Gekijou,6.93,#4612,#5067,"19,876",37,Comedy
4612,D.C.S.S: Da Capo Second Season,6.93,https://myanimelist.net/anime/291/DCSS__Da_Capo_Second_Season,6.93,#4613,#3945,"34,538",35,"Comedy, Drama, Romance, Supernatural, Harem"
4613,Devil May Cry,6.93,https://myanimelist.net/anime/1726/Devil_May_Cry,6.93,#4614,#800,"315,686","1,655","Action, Fantasy, Gore, Mythology"
4614,Devils Line: Anytime Anywhere,6.93,https://myanimelist.net/anime/37997/Devils_Line__Anytime_Anywhere,6.93,#4615,#4623,"24,742",32,"Action, Drama, Romance, Supernatural, Adult Cast, Vampire, Seinen"
4615,Galaxy Angel Music Collection: Shouen to Shien no Cassoulet,6.93,https://myanimelist.net/anime/2206/Galaxy_Angel_Music_Collection__Shouen_to_Shien_no_Cassoulet,6.93,#4616,#9958,"3,417",1,"Comedy, Sci-Fi"
4616,Healin' Good♡Precure,6.93,https://myanimelist.net/anime/40610/Healin_Good♡Precure,6.93,#4617,#6004,"12,759",82,"Action, Mahou Shoujo"
4617,Huyao Xiao Hongniang: Wei Sheng,6.93,https://myanimelist.net/anime/40806/Huyao_Xiao_Hongniang__Wei_Sheng,6.93,#4618,#9936,"3,437",3,"Comedy, Drama, Romance, Supernatural, Historical"
4618,Inazuma Eleven Go vs. Danball Senki W Movie,6.93,https://myanimelist.net/anime/15785/Inazuma_Eleven_Go_vs_Danball_Senki_W_Movie,6.93,#4619,#5673,"14,753",17,"Sports, Mecha, Team Sports, Kids"
4619,Seto no Hanayome Fan Disc,6.93,https://myanimelist.net/anime/5199/Seto_no_Hanayome_Fan_Disc,6.93,#4620,#7067,"8,608",3,"Comedy, Parody, School"
4620,Shin Hokuto no Ken,6.93,https://myanimelist.net/anime/1357/Shin_Hokuto_no_Ken,6.93,#4621,#5553,"15,606",20,"Action, Drama, Sci-Fi, Gore, Martial Arts, Super Power, Shounen"
4621,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",6.93,https://myanimelist.net/anime/44037/Shin_no_Nakama_ja_Nai_to_Yuusha_no_Party_wo_Oidasareta_node_Henkyou_de_Slow_Life_suru_Koto_ni_Shimashita,N/A,N/A,N/A,N/A,N/A,N/A
4622,Shinpi no Sekai El-Hazard (TV),6.93,https://myanimelist.net/anime/116/Shinpi_no_Sekai_El-Hazard_TV,6.93,#4623,#5151,"19,037",39,"Adventure, Comedy, Fantasy, Romance, Isekai"
4623,Shoujo☆Kageki Revue Starlight Specials,6.93,https://myanimelist.net/anime/38050/Shoujo☆Kageki_Revue_Starlight_Specials,6.93,#4624,#7016,"8,767",7,"Comedy, Performing Arts"
4624,Starship Operators,6.93,https://myanimelist.net/anime/342/Starship_Operators,6.93,#4625,#5406,"16,756",37,"Drama, Sci-Fi, Military, Space"
4625,Strike the Blood: Kieta Seisou-hen,6.93,https://myanimelist.net/anime/40486/Strike_the_Blood__Kieta_Seisou-hen,6.93,#4626,#4117,"31,896",30,"Action, Fantasy, Ecchi, Harem, School, Urban Fantasy, Vampire"
4626,Tantei Opera Milky Holmes: Summer Special,6.93,https://myanimelist.net/anime/10923/Tantei_Opera_Milky_Holmes__Summer_Special,6.93,#4627,#7469,"7,448",2,"Comedy, Mystery, Super Power"
4627,The iDOLM@STER Million Live!,6.93,https://myanimelist.net/anime/42385/The_iDOLMSTER_Million_Live,6.93,#4628,#6417,"10,846",53,"Idols (Female), Music"
4628,Tiger Mask W,6.93,https://myanimelist.net/anime/32881/Tiger_Mask_W,6.93,#4629,#4801,"22,644",73,"Drama, Sports, Combat Sports, Shounen"
4629,Tsukuyomi: Moon Phase,6.93,https://myanimelist.net/anime/343/Tsukuyomi__Moon_Phase,6.93,#4630,#2524,"78,527",272,"Comedy, Fantasy, Romance, Vampire, Seinen"
4630,Uchuu Kaizoku Captain Herlock: Arcadia-gou no Nazo,6.93,https://myanimelist.net/anime/2470/Uchuu_Kaizoku_Captain_Herlock__Arcadia-gou_no_Nazo,6.93,#4631,#8073,"6,183",7,"Action, Adventure, Drama, Sci-Fi, Space"
4631,UFO Princess Valkyrie 3: Seiresetsu no Hanayome,6.93,https://myanimelist.net/anime/1514/UFO_Princess_Valkyrie_3__Seiresetsu_no_Hanayome,6.93,#4632,#7297,"7,969",5,"Comedy, Romance, Sci-Fi"
4632,Umisea,6.93,https://myanimelist.net/anime/49860/Umisea,6.93,#4633,#9333,"4,182",21,"Adventure, Comedy"
4633,Vanitas no Karte: En Route Pour le Gévaudan,6.93,https://myanimelist.net/anime/50768/Vanitas_no_Karte__En_Route_Pour_le_Gévaudan,6.93,#4634,#4894,"21,628",91,"Action, Fantasy, Mystery, Historical, Urban Fantasy, Vampire, Shounen"
4634,VS Knight Lamune & 40 Fire,6.93,https://myanimelist.net/anime/2087/VS_Knight_Lamune___40_Fire,6.93,#4635,#9522,"3,928",13,"Action, Comedy, Fantasy, Mecha"
4635,Wangu Kuang Di,6.93,https://myanimelist.net/anime/57613/Wangu_Kuang_Di,6.93,#4636,#14234,928,5,"Action, Adventure, Fantasy, Historical, Martial Arts"
4636,World Destruction: Sekai Bokumetsu no Rokunin,6.93,https://myanimelist.net/anime/4415/World_Destruction__Sekai_Bokumetsu_no_Rokunin,6.93,#4637,#3154,"53,128",112,"Adventure, Fantasy"
4637,Xi Xing Ji: Chongsheng Pian,6.93,https://myanimelist.net/anime/51791/Xi_Xing_Ji__Chongsheng_Pian,6.93,#4638,#14197,946,2,"Action, Adventure, Fantasy, Historical, Martial Arts"
4638,Yu☆Gi☆Oh! 5D's: Shinkasuru Kettou! Stardust vs. Red Demon's,6.93,https://myanimelist.net/anime/5298/Yu☆Gi☆Oh_5Ds__Shinkasuru_Kettou_Stardust_vs_Red_Demons,6.93,#4639,#6411,"10,881",7,"Fantasy, Sci-Fi, Strategy Game"
4639,Kaibutsu Oujo: Konsui Oujo,6.93,https://myanimelist.net/anime/4082/Kaibutsu_Oujo__Konsui_Oujo,6.93,#4640,#6112,"12,259",11,"Action, Comedy, Horror, Supernatural, Vampire, Shounen"
4640,Kawaii dake ja Nai Shikimori-san,6.93,https://myanimelist.net/anime/45613/Kawaii_dake_ja_Nai_Shikimori-san,6.93,#4641,#412,"561,020","4,985","Comedy, Romance, School"
4641,Kidou Senshi Z Gundam II: Koibito-tachi,6.93,https://myanimelist.net/anime/1968/Kidou_Senshi_Z_Gundam_II__Koibito-tachi,6.93,#4642,#6098,"12,316",1,"Drama, Romance, Sci-Fi, Mecha, Military, Space"
4642,KimiKiss Pure Rouge: Love Fighter,6.93,https://myanimelist.net/anime/4205/KimiKiss_Pure_Rouge__Love_Fighter,6.93,#4643,#5983,"12,879",5,"Romance, School"
4643,Ling Jian Zun,6.93,https://myanimelist.net/anime/39080/Ling_Jian_Zun,6.93,#4644,#8670,"5,202",21,"Action, Adventure, Fantasy, Romance, Martial Arts"
4644,Love Live! School Idol Project: μ's →NEXT LoveLive! 2014 - Endless Parade Encore Animation,6.93,https://myanimelist.net/anime/30896/Love_Live_School_Idol_Project__μs_→NEXT_LoveLive_2014_-_Endless_Parade_Encore_Animation,6.93,#4645,#7847,"6,651",12,"Comedy, Idols (Female)"
4645,Lupin III: Lupin wa Ima mo Moete Iru ka?,6.93,https://myanimelist.net/anime/36967/Lupin_III__Lupin_wa_Ima_mo_Moete_Iru_ka,6.93,#4646,#8505,"5,479",1,"Action, Adventure, Comedy, Adult Cast, Seinen"
4646,Lupin III: Sweet Lost Night - Mahou no Lamp wa Akumu no Yokan,6.93,https://myanimelist.net/anime/5019/Lupin_III__Sweet_Lost_Night_-_Mahou_no_Lamp_wa_Akumu_no_Yokan,6.93,#4647,#8070,"6,190",1,"Action, Adventure, Comedy, Mystery, Adult Cast, Seinen"
4647,Mai-Otome Specials,6.93,https://myanimelist.net/anime/1659/Mai-Otome_Specials,6.93,#4648,#7979,"6,365",3,"Comedy, Drama, Fantasy"
4648,Monochrome Factor,6.93,https://myanimelist.net/anime/3656/Monochrome_Factor,6.93,#4649,#2933,"61,147",217,"Action, Boys Love, Supernatural"
4649,Munto: Toki no Kabe wo Koete,6.93,https://myanimelist.net/anime/1135/Munto__Toki_no_Kabe_wo_Koete,6.93,#4650,#5948,"13,085",14,"Action, Fantasy, Super Power"
