rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
2200,Shingeki no Bahamut: Virgin Soul,7.42,https://myanimelist.net/anime/30736/Shingeki_no_Bahamut__Virgin_Soul,7.42,#2201,#1018,"249,691","1,049","Action, Adventure, Fantasy"
2201,Shugo Chara!! Doki,7.42,https://myanimelist.net/anime/5262/Shugo_Chara_Doki,7.42,#2202,#2097,"105,652",586,"Comedy, Mahou Shoujo, School, Shoujo"
2202,SSSS.Dynazenon,7.42,https://myanimelist.net/anime/40870/SSSSDynazenon,7.42,#2203,#1723,"137,531",886,"Action, Sci-Fi, Mecha"
2203,Tenchi Muyou!,7.42,https://myanimelist.net/anime/696/Tenchi_Muyou,7.42,#2204,#2444,"83,194",639,"Comedy, Romance, Sci-Fi, Harem, Space"
2204,Tenshi na Konamaiki,7.42,https://myanimelist.net/anime/200/Tenshi_na_Konamaiki,7.42,#2205,#4272,"29,172",151,"Comedy, Romance, Magical Sex Shift, Shounen"
2205,Tiger & Bunny 2,7.42,https://myanimelist.net/anime/41595/Tiger___Bunny_2,7.42,#2206,#4665,"24,065",97,"Action, Comedy, Mystery, Sci-Fi, Adult Cast, Super Power"
2206,To LOVE-Ru Darkness 2nd,7.42,https://myanimelist.net/anime/28979/To_LOVE-Ru_Darkness_2nd,N/A,N/A,N/A,N/A,N/A,N/A
2207,Toradora! Recap,7.42,https://myanimelist.net/anime/23701/Toradora_Recap,N/A,N/A,N/A,N/A,N/A,N/A
2208,Toshokan Sensou,7.42,https://myanimelist.net/anime/3613/Toshokan_Sensou,N/A,N/A,N/A,N/A,N/A,N/A
2209,Yokohama Kaidashi Kikou,7.42,https://myanimelist.net/anime/975/Yokohama_Kaidashi_Kikou,N/A,N/A,N/A,N/A,N/A,N/A
2210,Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering,7.42,https://myanimelist.net/anime/4416/Yuusha-Ou_GaoGaiGar_Final_Grand_Glorious_Gathering,N/A,N/A,N/A,N/A,N/A,N/A
