rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
2000,Air Gear,7.48,https://myanimelist.net/anime/857/Air_Gear,7.48,#2001,#691,"358,747","3,639","Sports, Ecchi, Delinquents, School, Shounen"
2001,Ani ni Tsukeru Kusuri wa Nai!,7.48,https://myanimelist.net/anime/35015/Ani_ni_Tsukeru_Kusuri_wa_Nai,7.48,#2002,#2149,"102,038",390,"Comedy, School"
2002,Ao no Exorcist,7.48,https://myanimelist.net/anime/9919/Ao_no_Exorcist,7.48,#2003,#41,"1,969,433","16,977","Action, Supernatural, Mythology, School, Shounen"
2003,Boku ga Aishita Subete no Kimi e,7.48,https://myanimelist.net/anime/49834/Boku_ga_Aishita_Subete_no_Kimi_e,7.48,#2004,#2089,"106,270",406,"Romance, Sci-Fi"
2004,Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,7.48,https://myanimelist.net/anime/3744/Crayon_Shin-chan_Movie_10__Arashi_wo_Yobu_Appare_Sengoku_Daikassen,7.48,#2005,#8070,"6,190",13,"Award Winning, Drama, Romance, Historical, Samurai, Seinen"
2005,Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,7.48,https://myanimelist.net/anime/35823/Demi-chan_wa_Kataritai__Demi-chan_no_Natsuyasumi,7.48,#2006,#2378,"86,016",38,"Comedy, Fantasy, Mythology, School, Urban Fantasy, Vampire, Seinen"
2006,Denpa-teki na Kanojo,7.48,https://myanimelist.net/anime/5177/Denpa-teki_na_Kanojo,7.48,#2007,#1604,"150,749",801,"Mystery, Suspense, School"
2007,Futari-bun no Shoumei,7.48,https://myanimelist.net/anime/53933/Futari-bun_no_Shoumei,7.48,#2008,#7501,"7,385",41,Drama
2008,Grappler Baki: Saidai Tournament-hen,7.48,https://myanimelist.net/anime/551/Grappler_Baki__Saidai_Tournament-hen,7.48,#2009,#2238,"95,964",278,"Sports, Combat Sports, Gore, Shounen"
2009,Gundam Build Divers Re:Rise 2nd Season,7.48,https://myanimelist.net/anime/40942/Gundam_Build_Divers_Re_Rise_2nd_Season,7.48,#2010,#5864,"13,624",62,"Action, Sci-Fi, Mecha"
2010,"Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai",7.48,https://myanimelist.net/anime/33378/Haikara-san_ga_Tooru_Movie_1__Benio_Hana_no_17-sai,7.48,#2011,#4200,"30,258",99,"Comedy, Romance, Historical, Shoujo"
2011,Hokuto no Ken Zero: Kenshirou Den,7.48,https://myanimelist.net/anime/5291/Hokuto_no_Ken_Zero__Kenshirou_Den,7.48,#2012,#6118,"12,230",23,"Action, Martial Arts, Shounen"
2012,Isekai Izakaya: Koto Aitheria no Izakaya Nobu,7.48,https://myanimelist.net/anime/34420/Isekai_Izakaya__Koto_Aitheria_no_Izakaya_Nobu,7.48,#2013,#3387,"46,407",179,"Fantasy, Gourmet, Adult Cast, Isekai, Workplace"
2013,Acchi Kocchi,7.47,https://myanimelist.net/anime/12291/Acchi_Kocchi,7.47,#2014,#773,"327,143","2,723","Comedy, Romance, Gag Humor, School"
2014,Aikatsu!,7.47,https://myanimelist.net/anime/15061/Aikatsu,7.47,#2015,#3450,"45,191",906,"Slice of Life, Idols (Female), Music, School"
2015,Akame ga Kill!,7.47,https://myanimelist.net/anime/22199/Akame_ga_Kill,7.47,#2016,#30,"2,143,627","29,535","Action, Fantasy, Gore, Shounen"
2016,Another,7.47,https://myanimelist.net/anime/11111/Another,7.47,#2017,#59,"1,703,040","17,863","Horror, Mystery, Gore, School"
2017,Bai She II: Qing She Jie Qi,7.47,https://myanimelist.net/anime/49409/Bai_She_II__Qing_She_Jie_Qi,7.47,#2018,#8993,"4,684",25,"Adventure, Fantasy, Martial Arts, Mythology"
2018,Bai She: Yuan Qi,7.47,https://myanimelist.net/anime/38740/Bai_She__Yuan_Qi,7.47,#2019,#6797,"9,475",39,"Action, Adventure, Drama, Fantasy, Romance, Martial Arts, Mythology"
2019,Benghuai: Xing Qiong Tiedao - Xuanhuang,7.47,https://myanimelist.net/anime/56471/Benghuai__Xing_Qiong_Tiedao_-_Xuanhuang,7.47,#2020,#13325,"1,207",4,"Action, Fantasy, Sci-Fi"
2020,Da Li Si Rizhi 2nd Season,7.47,https://myanimelist.net/anime/50240/Da_Li_Si_Rizhi_2nd_Season,7.47,#2021,#12934,"1,341",6,"Action, Comedy, Fantasy, Mystery, Anthropomorphic, Historical, Martial Arts, Mythology"
2021,Da Yu Hai Tang (Movie),7.47,https://myanimelist.net/anime/10259/Da_Yu_Hai_Tang_Movie,7.47,#2022,#3451,"45,171",253,"Adventure, Drama, Romance, Supernatural"
2022,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,7.47,https://myanimelist.net/anime/31389/Fate_stay_night__Unlimited_Blade_Works_2nd_Season_-_Sunny_Day,7.47,#2023,#1944,"117,300",222,"Action, Fantasy, Urban Fantasy"
2023,Furiko,7.47,https://myanimelist.net/anime/13629/Furiko,N/A,N/A,N/A,N/A,N/A,N/A
2024,High School DxD New,7.47,https://myanimelist.net/anime/15451/High_School_DxD_New,7.47,#2025,#191,"932,408","4,510","Action, Comedy, Romance, Supernatural, Ecchi, Harem, Mythology, School"
2025,Hitoribocchi no Marumaru Seikatsu,7.47,https://myanimelist.net/anime/37614/Hitoribocchi_no_Marumaru_Seikatsu,7.47,#2026,#1136,"224,215","1,261","Comedy, CGDCT, School, Shounen"
2026,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,7.47,https://myanimelist.net/anime/40841/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen_OVA,7.47,#2027,#3490,"44,257",26,"Fantasy, Isekai, Reincarnation"
2027,"Ijiranaide, Nagatoro-san 2nd Attack",7.47,https://myanimelist.net/anime/50197/Ijiranaide_Nagatoro-san_2nd_Attack,7.47,#2028,#857,"300,027","2,024","Comedy, Love Status Quo, School"
2028,Isekai Quartet Movie: Another World,7.47,https://myanimelist.net/anime/41567/Isekai_Quartet_Movie__Another_World,7.47,#2029,#2415,"84,650",127,"Comedy, Fantasy, Isekai, Parody"
2029,Jashin-chan Dropkick',7.47,https://myanimelist.net/anime/39049/Jashin-chan_Dropkick,7.47,#2030,#3173,"52,514",125,"Comedy, Supernatural, Gag Humor, Mythology"
2030,Sekaiichi Hatsukoi: Propose-hen,7.47,https://myanimelist.net/anime/40314/Sekaiichi_Hatsukoi__Propose-hen,7.47,#2031,#4454,"26,840",100,"Boys Love, Adult Cast, Workplace"
2031,Shinryaku!! Ika Musume,7.47,https://myanimelist.net/anime/13267/Shinryaku_Ika_Musume,7.47,#2032,#4295,"28,871",17,"Comedy, Anthropomorphic, Shounen"
2032,Shinryaku!? Ika Musume,7.47,https://myanimelist.net/anime/10378/Shinryaku_Ika_Musume,7.47,#2033,#2153,"101,749",179,"Comedy, Anthropomorphic, Shounen"
2033,Sugar Apple Fairy Tale,7.47,https://myanimelist.net/anime/49980/Sugar_Apple_Fairy_Tale,7.47,#2034,#1854,"125,227",941,"Adventure, Drama, Fantasy, Romance, Visual Arts, Shoujo"
2034,"Suteki desu wa, Sakura-chan! Tomoyo no Cardcaptor Sakura Katsuyaku Video Nikki!",7.47,https://myanimelist.net/anime/2424/Suteki_desu_wa_Sakura-chan_Tomoyo_no_Cardcaptor_Sakura_Katsuyaku_Video_Nikki,7.47,#2035,#4280,"29,012",36,"Comedy, Mahou Shoujo, Shoujo"
2035,Tensei Oujo to Tensai Reijou no Mahou Kakumei,7.47,https://myanimelist.net/anime/52736/Tensei_Oujo_to_Tensai_Reijou_no_Mahou_Kakumei,7.47,#2036,#1243,"202,244","1,582","Fantasy, Girls Love, Isekai, Reincarnation"
2036,Towa no Quon 5: Souzetsu no Raifuku,7.47,https://myanimelist.net/anime/10716/Towa_no_Quon_5__Souzetsu_no_Raifuku,7.47,#2037,#3846,"36,537",15,"Action, Sci-Fi, Super Power"
2037,Tsurune Movie: Hajimari no Issha,7.47,https://myanimelist.net/anime/43556/Tsurune_Movie__Hajimari_no_Issha,7.47,#2038,#5049,"20,066",60,"Sports, School"
2038,Waga Seishun no Arcadia,7.47,https://myanimelist.net/anime/2202/Waga_Seishun_no_Arcadia,7.47,#2039,#6177,"11,889",89,"Action, Adventure, Drama, Sci-Fi, Adult Cast, Space"
2039,Yuan Zun,7.47,https://myanimelist.net/anime/50114/Yuan_Zun,7.47,#2040,#11618,"2,050",16,"Action, Adventure, Fantasy, Martial Arts"
2040,Kamisama no Memochou,7.47,https://myanimelist.net/anime/10568/Kamisama_no_Memochou,7.47,#2041,#1041,"243,211",797,"Drama, Mystery"
2041,KanColle Movie,7.47,https://myanimelist.net/anime/31418/KanColle_Movie,7.47,#2042,#3597,"41,977",181,"Action, Drama, Sci-Fi, Anthropomorphic, Military"
2042,Kore wa Zombie desu ka? of the Dead,7.47,https://myanimelist.net/anime/10790/Kore_wa_Zombie_desu_ka_of_the_Dead,7.47,#2043,#639,"384,973",733,"Action, Comedy, Fantasy, Ecchi, Harem, Urban Fantasy, Vampire"
2043,Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers,7.47,https://myanimelist.net/anime/19191/Koukaku_Kidoutai_Arise__Ghost_in_the_Shell_-_Border_2_Ghost_Whispers,7.47,#2044,#3148,"53,338",48,"Action, Mystery, Sci-Fi, Adult Cast, Detective, Mecha, Psychological"
2044,Madang-eul Naon Amtalg,7.47,https://myanimelist.net/anime/12917/Madang-eul_Naon_Amtalg,7.47,#2045,#9226,"4,335",21,"Adventure, Drama, Fantasy, Anthropomorphic, Kids"
2045,Meng Qi Shi Shen: Huanxi Zhui Hun,7.47,https://myanimelist.net/anime/51203/Meng_Qi_Shi_Shen__Huanxi_Zhui_Hun,7.47,#2046,#8365,"5,695",19,"Comedy, Drama, Gourmet, Romance, Historical"
2046,New Initial D Movie: Battle Digest,7.47,https://myanimelist.net/anime/50846/New_Initial_D_Movie__Battle_Digest,7.47,#2047,#7744,"6,845",56,"Racing, Seinen"
2047,Psycho-Pass: Sinners of the System Case.2 - First Guardian,7.47,https://myanimelist.net/anime/37441/Psycho-Pass__Sinners_of_the_System_Case2_-_First_Guardian,7.47,#2048,#2170,"100,660",82,"Action, Mystery, Sci-Fi, Suspense, Adult Cast, Detective, Psychological"
2048,Saenai Heroine no Sodatekata,7.47,https://myanimelist.net/anime/23277/Saenai_Heroine_no_Sodatekata,7.47,#2049,#317,"680,666","4,428","Comedy, Romance, Ecchi, Harem, Otaku Culture, School"
2049,Saint☆Oniisan,7.47,https://myanimelist.net/anime/15775/Saint☆Oniisan,7.47,#2050,#2258,"94,423",284,"Comedy, Slice of Life, Seinen"
2050,Sarazanmai,7.47,https://myanimelist.net/anime/37426/Sarazanmai,7.47,#2051,#1729,"136,533","1,393","Action, Supernatural, Anthropomorphic"
2051,Sayonara Zetsubou Sensei Special,7.47,https://myanimelist.net/anime/10469/Sayonara_Zetsubou_Sensei_Special,7.47,#2052,#5132,"19,254",8,"Comedy, Mystery, Gag Humor, Parody, Shounen"
2052,Junjou Romantica,7.46,https://myanimelist.net/anime/3092/Junjou_Romantica,7.46,#2053,#985,"259,318","4,352","Boys Love, Comedy, Drama, Adult Cast"
2053,Kamikaze Kaitou Jeanne,7.46,https://myanimelist.net/anime/142/Kamikaze_Kaitou_Jeanne,7.46,#2054,#2997,"58,534",541,"Action, Drama, Mystery, Romance, Supernatural, Mahou Shoujo, Mythology, Reincarnation, Shoujo"
2054,Kyoukaisenjou no Horizon II,7.46,https://myanimelist.net/anime/12487/Kyoukaisenjou_no_Horizon_II,7.46,#2055,#2407,"84,833",336,"Action, Fantasy, Sci-Fi"
2055,Lutu Weiji! Sheng Freya Hao Tebie Shijian,7.46,https://myanimelist.net/anime/58079/Lutu_Weiji_Sheng_Freya_Hao_Tebie_Shijian,7.46,#2056,#13666,"1,100",7,"Comedy, Mystery, Sci-Fi, Space"
2056,Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!,7.46,https://myanimelist.net/anime/33183/Mahoutsukai_Precure_Movie__Kiseki_no_Henshin_Cure_Mofurun,7.46,#2057,#9199,"4,388",3,"Action, Slice of Life, Mahou Shoujo, School"
2057,Major 2nd 2nd Season,7.46,https://myanimelist.net/anime/40504/Major_2nd_2nd_Season,7.46,#2058,#4779,"22,857",68,"Sports, Team Sports, Shounen"
2058,Miira no Kaikata,7.46,https://myanimelist.net/anime/35828/Miira_no_Kaikata,7.46,#2059,#1687,"141,502",755,"Slice of Life, Supernatural, Mythology, Pets, School"
2059,Naruto: Shippuuden Movie 5 - Blood Prison,7.46,https://myanimelist.net/anime/10589/Naruto__Shippuuden_Movie_5_-_Blood_Prison,7.46,#2060,#986,"259,156",240,"Action, Adventure, Fantasy, Shounen"
