rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
4350,Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!,7.00,https://myanimelist.net/anime/2132/Inukami_The_Movie__Tokumei_Reiteki_Sousakan_Karina_Shirou,7.00,#4351,#5317,"17,448",7,"Comedy, Romance, Supernatural, Ecchi"
4351,Amagami-san Chi no Enmusubi,6.99,https://myanimelist.net/anime/55071/Amagami-san_Chi_no_Enmusubi,6.99,#4352,#3190,"51,850",159,"Comedy, Romance, Harem, Shounen"
4352,Ao no 6-gou,6.99,https://myanimelist.net/anime/1051/Ao_no_6-gou,6.99,#4353,#2945,"60,766",278,"Action, Adventure, Award Winning, Sci-Fi, Mecha, Military, Shounen"
4353,Area 88 (TV),6.99,https://myanimelist.net/anime/284/Area_88_TV,6.99,#4354,#5593,"15,248",65,"Action, Drama, Romance, Military, Shounen"
4354,Arslan Senki (TV) Gaiden,6.99,https://myanimelist.net/anime/33254/Arslan_Senki_TV_Gaiden,6.99,#4355,#4886,"21,702",17,"Adventure, Fantasy, Historical, Shounen"
4355,Asura,6.99,https://myanimelist.net/anime/8475/Asura,6.99,#4356,#3978,"34,075",83,"Award Winning, Drama, Historical"
4356,BanG Dream!,6.99,https://myanimelist.net/anime/33573/BanG_Dream,6.99,#4357,#2230,"96,622",840,"CGDCT, Music, School"
4357,Blue Seed,6.99,https://myanimelist.net/anime/998/Blue_Seed,N/A,N/A,N/A,N/A,N/A,N/A
4358,Chain Chronicle: Haecceitas no Hikari Part 1,6.99,https://myanimelist.net/anime/33728/Chain_Chronicle__Haecceitas_no_Hikari_Part_1,6.99,#4359,#4611,"24,897",21,"Action, Adventure, Fantasy"
4359,Chain Chronicle: Haecceitas no Hikari Part 3,6.99,https://myanimelist.net/anime/33730/Chain_Chronicle__Haecceitas_no_Hikari_Part_3,6.99,#4360,#5526,"15,805",8,"Action, Adventure, Fantasy"
4360,Concrete Revolutio: Choujin Gensou - The Last Song,6.99,https://myanimelist.net/anime/32313/Concrete_Revolutio__Choujin_Gensou_-_The_Last_Song,6.99,#4361,#3823,"37,243",87,"Action, Drama, Fantasy, Mystery, Sci-Fi, Mythology, Super Power"
4361,Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen,6.99,https://myanimelist.net/anime/10116/Crayon_Shin-chan_Movie_19__Arashi_wo_Yobu_Ougon_no_Spy_Daisakusen,6.99,#4362,#8300,"5,797",2,"Comedy, Seinen"
4362,Futari wa Precure: Max Heart,6.99,https://myanimelist.net/anime/1929/Futari_wa_Precure__Max_Heart,6.99,#4363,#4989,"20,735",51,"Action, Comedy, Mahou Shoujo"
4363,Gakkou no Kaidan: Kubinashi Rider!! Shi no Noroi,6.99,https://myanimelist.net/anime/30825/Gakkou_no_Kaidan__Kubinashi_Rider_Shi_no_Noroi,6.99,#4364,#5391,"16,892",9,"Horror, Mystery, Supernatural"
4364,Gakusen Toshi Asterisk 2nd Season,6.99,https://myanimelist.net/anime/31737/Gakusen_Toshi_Asterisk_2nd_Season,6.99,#4365,#531,"446,197",778,"Action, Comedy, Fantasy, Romance, Sci-Fi, Ecchi, Harem, School, Urban Fantasy"
4365,Hataraki Man,6.99,https://myanimelist.net/anime/1592/Hataraki_Man,6.99,#4366,#4440,"26,992",63,"Comedy, Drama, Romance, Adult Cast, Workplace, Seinen"
4366,Hoshi wo Katta Hi,6.99,https://myanimelist.net/anime/6463/Hoshi_wo_Katta_Hi,6.99,#4367,#7148,"8,402",7,"Sci-Fi, Kids"
4367,Inazuma Eleven: Chou Jigen Dream Match,6.99,https://myanimelist.net/anime/24347/Inazuma_Eleven__Chou_Jigen_Dream_Match,6.99,#4368,#6139,"12,116",6,"Sports, Super Power, Team Sports"
4368,Inazuma Eleven: Reloaded - Soccer no Henkaku,6.99,https://myanimelist.net/anime/37814/Inazuma_Eleven__Reloaded_-_Soccer_no_Henkaku,6.99,#4369,#7461,"7,465",7,"Sports, Super Power, Team Sports"
4369,Senyuu. Specials,6.99,https://myanimelist.net/anime/17391/Senyuu_Specials,6.99,#4370,#5231,"18,344",9,"Action, Comedy, Fantasy, Shounen"
4370,Sky Girls,6.99,https://myanimelist.net/anime/2604/Sky_Girls,6.99,#4371,#4595,"25,053",51,"Sci-Fi, Mecha, Military"
4371,Soukyuu no Fafner: Dead Aggressor - Exodus Special,6.99,https://myanimelist.net/anime/32034/Soukyuu_no_Fafner__Dead_Aggressor_-_Exodus_Special,6.99,#4372,#11434,"2,173",2,"Action, Drama, Sci-Fi, Mecha, Military"
4372,Taiho Shichau zo: Nagisa no Koutsuu Yuudou,6.99,https://myanimelist.net/anime/4162/Taiho_Shichau_zo__Nagisa_no_Koutsuu_Yuudou,6.99,#4373,#8093,"6,150",3,"Action, Comedy, Mystery, Adult Cast, Detective, Workplace, Seinen"
