title,score,genres,ranked,popularity,members,favorites
Kanojo to Kanojo no Neko,7.26,"Slice of Life, Pets",#3001,#2175,"100,311",298
Kidou Keisatsu Patlabor,7.26,"Action, Comedy, Sci-Fi, Adult Cast, Mecha, Workplace",#3002,#3690,"40,039",214
Kidou Senshi Gundam SEED Special Edition,7.26,"Action, Sci-Fi, Mecha, Military, Space",#3003,#6330,"11,210",12
Kidou Tenshi Angelic Layer,7.26,"Award Winning, Comedy, Drama, Sci-Fi, Strategy Game, Shounen",#3004,#2957,"60,155",311
Kimi no Hikari: Asagao to Kase-san.,7.26,"Girls Love, Music, School",#3005,#3488,"44,289",109
KimiKiss Pure Rouge,7.26,"Drama, Romance, School",#3006,#2297,"91,613",293
Konjiki no Gash Bell!!: 101-banme no Mamono,7.26,"Adventure, Supernatural, Shounen",#3007,#6954,"8,949",3
"Kono Danshi, Ningyo Hiroimashita.",7.26,"Boys Love, Drama, Fantasy",#3008,#3664,"40,538",159
Kyuujitsu no Warumono-san,7.26,"Fantasy, Slice of Life, Iyashikei",#3009,#2358,"87,188",503
Lupin the IIIrd: Mine Fujiko no Uso,7.26,"Action, Adventure, Drama, Adult Cast, Seinen",#3010,#5652,"14,943",15
Maria-sama ga Miteru 3rd Specials,7.26,"Comedy, Girls Love, Shoujo",#3011,#7420,"7,589",4
Maria-sama ga Miteru: Haru Specials,7.26,"Drama, Girls Love, School, Shoujo",#3012,#6920,"9,044",4
Mary to Majo no Hana,7.26,"Adventure, Fantasy",#3013,#2130,"103,235",185
Meitantei Conan OVA 07: Agasa-sensei no Chousenjou! Agasa vs Conan & Shounen Tanteidan,7.26,"Adventure, Comedy, Mystery, Detective, Shounen",#3014,#5689,"14,627",4
Motto To LOVE-Ru,7.26,"Comedy, Romance, Sci-Fi, Ecchi, Harem, School, Shounen",#3015,#730,"341,342",988
Natsu no Arashi! Akinaichuu,7.26,"Comedy, Romance, Supernatural, Time Travel, Shounen",#3016,#4872,"21,808",15
Natsuyuki Rendezvous,7.26,"Drama, Romance, Supernatural, Adult Cast, Josei",#3017,#2400,"85,162",268
Nijiiro Days,7.26,"Comedy, Romance, School, Shoujo",#3018,#1067,"237,316",726
Nu Wushen de Canzhuo Spring Festival Special,7.26,"Comedy, Gourmet",#3019,#10286,"3,068",12
"Omoi, Omoware, Furi, Furare",7.26,"Drama, Romance, Love Polygon, School, Shoujo",#3020,#2465,"81,979",326
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,7.26,"Comedy, Fantasy, Romance, Isekai, Reverse Harem, School, Villainess, Shoujo",#3021,#1017,"250,347","1,062"
Owari no Seraph: The Beginning of the End,7.26,"Action, Drama, Fantasy, Vampire, Shounen",#3022,#2732,"69,041",142
Persona 4 the Animation: The Factor of Hope,7.26,"Action, Adventure, Mystery, Supernatural, School, Super Power",#3023,#5095,"19,575",13
