rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
4750,"91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita",6.90,https://myanimelist.net/anime/34777/91_Days__Toki_no_Asase_Subete_no_Kinou_Ashita_Mata_Ashita,6.90,#4751,#3025,"57,629",32,"Action, Drama, Suspense, Historical, Organized Crime"
4751,Ai Yori Aoshi: Enishi - Miyuki,6.90,https://myanimelist.net/anime/3266/Ai_Yori_Aoshi__Enishi_-_Miyuki,6.90,#4752,#5211,"18,451",14,"Comedy, Drama, Romance, Ecchi, Seinen"
4752,Animation Seisaku Shinkou Kuromi-chan,6.90,https://myanimelist.net/anime/1797/Animation_Seisaku_Shinkou_Kuromi-chan,6.90,#4753,#6428,"10,810",15,"Comedy, Drama, Adult Cast, Otaku Culture, Parody"
4753,Blade Runner: Black Out 2022,6.90,https://myanimelist.net/anime/36308/Blade_Runner__Black_Out_2022,6.90,#4754,#3720,"39,262",57,"Sci-Fi, Suspense"
4754,Brotherhood: Final Fantasy XV,6.90,https://myanimelist.net/anime/33080/Brotherhood__Final_Fantasy_XV,6.90,#4755,#2370,"86,607",203,Action
4755,Chibi☆Devi!,6.90,https://myanimelist.net/anime/11457/Chibi☆Devi,6.90,#4756,#4854,"21,961",76,"Slice of Life, Supernatural, Childcare, Mythology, Shoujo"
4756,Chimimo,6.90,https://myanimelist.net/anime/50985/Chimimo,6.90,#4757,#9405,"4,091",24,"Comedy, Mythology"
4757,Croket!,6.90,https://myanimelist.net/anime/5071/Croket,6.90,#4758,#12406,"1,593",4,"Action, Adventure, Comedy, Fantasy, Kids"
4758,Endro~!,6.90,https://myanimelist.net/anime/38062/Endro,6.90,#4759,#2517,"79,052",191,"Fantasy, Slice of Life, CGDCT"
4759,Gravitation,6.90,https://myanimelist.net/anime/243/Gravitation,6.90,#4760,#1893,"122,394","1,110","Boys Love, Comedy, Adult Cast, Music, Showbiz, Shoujo"
4760,Grisaia no Kajitsu Specials,6.90,https://myanimelist.net/anime/29101/Grisaia_no_Kajitsu_Specials,6.90,#4761,#2439,"83,422",56,Ecchi
4761,Grisaia: Phantom Trigger The Animation,6.90,https://myanimelist.net/anime/35868/Grisaia__Phantom_Trigger_The_Animation,6.90,#4762,#2512,"79,275",116,"Action, School"
4762,Hajimete no Eigo: Nippon Mukashibanashi,6.90,https://myanimelist.net/anime/33335/Hajimete_no_Eigo__Nippon_Mukashibanashi,6.90,#4763,#14605,844,3,"Fantasy, Kids"
4763,Heat Guy J: Toriko - Angel,6.90,https://myanimelist.net/anime/1774/Heat_Guy_J__Toriko_-_Angel,6.90,#4764,#10559,"2,843",1,"Action, Adventure, Sci-Fi, Mecha, Organized Crime"
