title,score,genres,ranked,popularity,members,favorites
Air Gear,7.48,"Sports, Ecchi, Delinquents, School, Shounen",#2001,#691,"358,747","3,639"
Ani ni Tsukeru Kusuri wa Nai!,7.48,"Comedy, School",#2002,#2149,"102,038",390
Ao no Exorcist,7.48,"Action, Supernatural, Mythology, School, Shounen",#2003,#41,"1,969,433","16,977"
Boku ga Aishita Subete no Kimi e,7.48,"Romance, Sci-Fi",#2004,#2089,"106,270",406
Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,7.48,"Award Winning, Drama, Romance, Historical, Samurai, Seinen",#2005,#8070,"6,190",13
Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,7.48,"Comedy, Fantasy, Mythology, School, Urban Fantasy, Vampire, Seinen",#2006,#2378,"86,016",38
Denpa-teki na Kanojo,7.48,"Mystery, Suspense, School",#2007,#1604,"150,749",801
Futari-bun no Shoumei,7.48,Drama,#2008,#7501,"7,385",41
Grappler Baki: Saidai Tournament-hen,7.48,"Sports, Combat Sports, Gore, Shounen",#2009,#2238,"95,964",278
Gundam Build Divers Re:Rise 2nd Season,7.48,"Action, Sci-Fi, Mecha",#2010,#5864,"13,624",62
"Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai",7.48,"Comedy, Romance, Historical, Shoujo",#2011,#4200,"30,258",99
Hokuto no Ken Zero: Kenshirou Den,7.48,"Action, Martial Arts, Shounen",#2012,#6118,"12,230",23
Isekai Izakaya: Koto Aitheria no Izakaya Nobu,7.48,"Fantasy, Gourmet, Adult Cast, Isekai, Workplace",#2013,#3387,"46,407",179
Acchi Kocchi,7.47,"Comedy, Romance, Gag Humor, School",#2014,#773,"327,143","2,723"
Aikatsu!,7.47,"Slice of Life, Idols (Female), Music, School",#2015,#3450,"45,191",906
Akame ga Kill!,7.47,"Action, Fantasy, Gore, Shounen",#2016,#30,"2,143,627","29,535"
Another,7.47,"Horror, Mystery, Gore, School",#2017,#59,"1,703,040","17,863"
Bai She II: Qing She Jie Qi,7.47,"Adventure, Fantasy, Martial Arts, Mythology",#2018,#8993,"4,684",25
Bai She: Yuan Qi,7.47,"Action, Adventure, Drama, Fantasy, Romance, Martial Arts, Mythology",#2019,#6797,"9,475",39
Benghuai: Xing Qiong Tiedao - Xuanhuang,7.47,"Action, Fantasy, Sci-Fi",#2020,#13325,"1,207",4
Da Li Si Rizhi 2nd Season,7.47,"Action, Comedy, Fantasy, Mystery, Anthropomorphic, Historical, Martial Arts, Mythology",#2021,#12934,"1,341",6
Da Yu Hai Tang (Movie),7.47,"Adventure, Drama, Romance, Supernatural",#2022,#3451,"45,171",253
Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,7.47,"Action, Fantasy, Urban Fantasy",#2023,#1944,"117,300",222
Furiko,7.47,,,,,
High School DxD New,7.47,"Action, Comedy, Romance, Supernatural, Ecchi, Harem, Mythology, School",#2025,#191,"932,408","4,510"
Hitoribocchi no Marumaru Seikatsu,7.47,"Comedy, CGDCT, School, Shounen",#2026,#1136,"224,215","1,261"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,7.47,"Fantasy, Isekai, Reincarnation",#2027,#3490,"44,257",26
"Ijiranaide, Nagatoro-san 2nd Attack",7.47,"Comedy, Love Status Quo, School",#2028,#857,"300,027","2,024"
Isekai Quartet Movie: Another World,7.47,"Comedy, Fantasy, Isekai, Parody",#2029,#2415,"84,650",127
Jashin-chan Dropkick',7.47,"Comedy, Supernatural, Gag Humor, Mythology",#2030,#3173,"52,514",125
Sekaiichi Hatsukoi: Propose-hen,7.47,"Boys Love, Adult Cast, Workplace",#2031,#4454,"26,840",100
Shinryaku!! Ika Musume,7.47,"Comedy, Anthropomorphic, Shounen",#2032,#4295,"28,871",17
Shinryaku!? Ika Musume,7.47,"Comedy, Anthropomorphic, Shounen",#2033,#2153,"101,749",179
Sugar Apple Fairy Tale,7.47,"Adventure, Drama, Fantasy, Romance, Visual Arts, Shoujo",#2034,#1854,"125,227",941
"Suteki desu wa, Sakura-chan! Tomoyo no Cardcaptor Sakura Katsuyaku Video Nikki!",7.47,"Comedy, Mahou Shoujo, Shoujo",#2035,#4280,"29,012",36
Tensei Oujo to Tensai Reijou no Mahou Kakumei,7.47,"Fantasy, Girls Love, Isekai, Reincarnation",#2036,#1243,"202,244","1,582"
Towa no Quon 5: Souzetsu no Raifuku,7.47,"Action, Sci-Fi, Super Power",#2037,#3846,"36,537",15
Tsurune Movie: Hajimari no Issha,7.47,"Sports, School",#2038,#5049,"20,066",60
Waga Seishun no Arcadia,7.47,"Action, Adventure, Drama, Sci-Fi, Adult Cast, Space",#2039,#6177,"11,889",89
Yuan Zun,7.47,"Action, Adventure, Fantasy, Martial Arts",#2040,#11618,"2,050",16
Kamisama no Memochou,7.47,"Drama, Mystery",#2041,#1041,"243,211",797
KanColle Movie,7.47,"Action, Drama, Sci-Fi, Anthropomorphic, Military",#2042,#3597,"41,977",181
Kore wa Zombie desu ka? of the Dead,7.47,"Action, Comedy, Fantasy, Ecchi, Harem, Urban Fantasy, Vampire",#2043,#639,"384,973",733
Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers,7.47,"Action, Mystery, Sci-Fi, Adult Cast, Detective, Mecha, Psychological",#2044,#3148,"53,338",48
Madang-eul Naon Amtalg,7.47,"Adventure, Drama, Fantasy, Anthropomorphic, Kids",#2045,#9226,"4,335",21
Meng Qi Shi Shen: Huanxi Zhui Hun,7.47,"Comedy, Drama, Gourmet, Romance, Historical",#2046,#8365,"5,695",19
New Initial D Movie: Battle Digest,7.47,"Racing, Seinen",#2047,#7744,"6,845",56
Psycho-Pass: Sinners of the System Case.2 - First Guardian,7.47,"Action, Mystery, Sci-Fi, Suspense, Adult Cast, Detective, Psychological",#2048,#2170,"100,660",82
Saenai Heroine no Sodatekata,7.47,"Comedy, Romance, Ecchi, Harem, Otaku Culture, School",#2049,#317,"680,666","4,428"
Saint☆Oniisan,7.47,"Comedy, Slice of Life, Seinen",#2050,#2258,"94,423",284
Sarazanmai,7.47,"Action, Supernatural, Anthropomorphic",#2051,#1729,"136,533","1,393"
Sayonara Zetsubou Sensei Special,7.47,"Comedy, Mystery, Gag Humor, Parody, Shounen",#2052,#5132,"19,254",8
Junjou Romantica,7.46,"Boys Love, Comedy, Drama, Adult Cast",#2053,#985,"259,318","4,352"
Kamikaze Kaitou Jeanne,7.46,"Action, Drama, Mystery, Romance, Supernatural, Mahou Shoujo, Mythology, Reincarnation, Shoujo",#2054,#2997,"58,534",541
Kyoukaisenjou no Horizon II,7.46,"Action, Fantasy, Sci-Fi",#2055,#2407,"84,833",336
Lutu Weiji! Sheng Freya Hao Tebie Shijian,7.46,"Comedy, Mystery, Sci-Fi, Space",#2056,#13666,"1,100",7
Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!,7.46,"Action, Slice of Life, Mahou Shoujo, School",#2057,#9199,"4,388",3
Major 2nd 2nd Season,7.46,"Sports, Team Sports, Shounen",#2058,#4779,"22,857",68
Miira no Kaikata,7.46,"Slice of Life, Supernatural, Mythology, Pets, School",#2059,#1687,"141,502",755
Naruto: Shippuuden Movie 5 - Blood Prison,7.46,"Action, Adventure, Fantasy, Shounen",#2060,#986,"259,156",240
Orange: Mirai,7.46,"Drama, Romance, Sci-Fi, School, Time Travel, Shoujo",#2061,#1701,"140,209",211
