rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
4300,Shaonian Bai Ma Zui Chun Feng,7.01,https://myanimelist.net/anime/48867/Shaonian_Bai_Ma_Zui_Chun_Feng,7.01,#4301,#12258,"1,665",11,"Action, Fantasy, Historical, Martial Arts"
4301,Shuffle!,7.01,https://myanimelist.net/anime/79/Shuffle,7.01,#4302,#900,"283,303","1,458","Comedy, Fantasy, Romance, Ecchi, Harem, School, Urban Fantasy"
4302,"Solty Rei: Surechigau Kimochi de, Omoi Au Kokoro de.",7.01,https://myanimelist.net/anime/3138/Solty_Rei__Surechigau_Kimochi_de_Omoi_Au_Kokoro_de,7.01,#4303,#9287,"4,250",4,"Comedy, Drama"
4303,Stranger: Mukou Hadan Pilot,7.01,https://myanimelist.net/anime/14617/Stranger__Mukou_Hadan_Pilot,7.01,#4304,#5988,"12,846",25,"Action, Adventure, Historical, Samurai"
4304,Strike the Blood,7.01,https://myanimelist.net/anime/18277/Strike_the_Blood,7.01,#4305,#339,"651,581","2,219","Action, Fantasy, Ecchi, Harem, School, Urban Fantasy, Vampire"
4305,Sword Art Online Alternative: Gun Gale Online,7.01,https://myanimelist.net/anime/36475/Sword_Art_Online_Alternative__Gun_Gale_Online,7.01,#4306,#347,"641,166","1,605","Action, Military, Video Game"
4306,Taiho Shichau zo Special,7.01,https://myanimelist.net/anime/2011/Taiho_Shichau_zo_Special,7.01,#4307,#7266,"8,057",7,"Action, Comedy, Adult Cast, Detective, Workplace, Seinen"
4307,Tokimeki Memorial: Only Love,7.01,https://myanimelist.net/anime/1555/Tokimeki_Memorial__Only_Love,7.01,#4308,#3765,"38,352",94,"Comedy, Romance, Harem, School"
4308,Tottoko Hamtarou,7.01,https://myanimelist.net/anime/508/Tottoko_Hamtarou,7.01,#4309,#2911,"61,942",277,"Adventure, Comedy, Anthropomorphic, Kids"
4309,Tu Bian Ying Xiong Leaf,7.01,https://myanimelist.net/anime/35044/Tu_Bian_Ying_Xiong_Leaf,7.01,#4310,#3831,"36,892",106,"Comedy, Super Power"
4310,Uchuu Senkan Yamato III,7.01,https://myanimelist.net/anime/1652/Uchuu_Senkan_Yamato_III,7.01,#4311,#7718,"6,886",9,"Action, Adventure, Drama, Sci-Fi, Adult Cast, Military, Space"
4311,Uta no☆Prince-sama♪ Maji Love 1000%,7.01,https://myanimelist.net/anime/10321/Uta_no☆Prince-sama♪_Maji_Love_1000,7.01,#4312,#1249,"201,578","1,598","Comedy, Romance, Idols (Male), Music, Reverse Harem, School, Josei"
4312,Vanitas no Karte: Le Chemin Parcouru Depuis la Rencontre,7.01,https://myanimelist.net/anime/50770/Vanitas_no_Karte__Le_Chemin_Parcouru_Depuis_la_Rencontre,7.01,#4313,#6946,"8,964",37,"Action, Fantasy, Mystery, Historical, Urban Fantasy, Vampire, Shounen"
4313,Wo Shi Jiang Xiaobai (2018),7.01,https://myanimelist.net/anime/37886/Wo_Shi_Jiang_Xiaobai_2018,7.01,#4314,#10396,"2,975",4,"Drama, Romance, Slice of Life, Love Polygon"
4314,Youkai Watch Movie 1: Tanjou no Himitsu da Nyan!,7.01,https://myanimelist.net/anime/24591/Youkai_Watch_Movie_1__Tanjou_no_Himitsu_da_Nyan,7.01,#4315,#7674,"7,003",12,"Award Winning, Comedy, Supernatural, Kids"
4315,Yuusha Tokkyuu Might Gaine,7.01,https://myanimelist.net/anime/3486/Yuusha_Tokkyuu_Might_Gaine,7.01,#4316,#9584,"3,863",14,"Action, Adventure, Sci-Fi, Mecha"
4316,"Yuusha, Yamemasu",7.01,https://myanimelist.net/anime/50175/Yuusha_Yamemasu,7.01,#4317,#785,"320,222","1,707","Action, Adventure, Comedy, Fantasy"
4317,Shakugan no Shana-tan III (Final): Final Destruction,7.00,https://myanimelist.net/anime/12823/Shakugan_no_Shana-tan_III_Final__Final_Destruction,7.00,#4318,#5061,"19,920",13,"Comedy, Parody"
4318,Soukou no Strain,7.00,https://myanimelist.net/anime/1602/Soukou_no_Strain,7.00,#4319,#4692,"23,760",77,"Action, Drama, Sci-Fi, Ecchi, Mecha, Military, Space"
4319,Tenjou Tenge: The Ultimate Fight,7.00,https://myanimelist.net/anime/448/Tenjou_Tenge__The_Ultimate_Fight,7.00,#4320,#3528,"43,401",36,"Action, Drama, Romance, Supernatural, Martial Arts, Super Power, Seinen"
4320,Tongari Boushi no Memole,7.00,https://myanimelist.net/anime/3754/Tongari_Boushi_no_Memole,7.00,#4321,#9738,"3,679",9,Fantasy
4321,Tsurupika Hagemaru-kun,7.00,https://myanimelist.net/anime/5830/Tsurupika_Hagemaru-kun,7.00,#4322,#9898,"3,483",25,"Comedy, Kids"
4322,Uta no☆Prince-sama♪ Maji Love Revolutions,7.00,https://myanimelist.net/anime/21439/Uta_no☆Prince-sama♪_Maji_Love_Revolutions,7.00,#4323,#2923,"61,523",226,"Comedy, Romance, Idols (Male), Music, Reverse Harem, School, Josei"
4323,Wo Shi Da Shenxian 2nd Season,7.00,https://myanimelist.net/anime/48369/Wo_Shi_Da_Shenxian_2nd_Season,7.00,#4324,#12885,"1,365",4,"Action, Fantasy, Martial Arts"
4324,Xiong Shi Shaonian,7.00,https://myanimelist.net/anime/52769/Xiong_Shi_Shaonian,7.00,#4325,#16927,476,4,"Comedy, Drama, Fantasy"
4325,Yami Shibai,7.00,https://myanimelist.net/anime/19383/Yami_Shibai,7.00,#4326,#2018,"112,264",336,"Avant Garde, Horror, Supernatural"
4326,Yankee-kun na Yamada-kun to Megane-chan to Majo,7.00,https://myanimelist.net/anime/30641/Yankee-kun_na_Yamada-kun_to_Megane-chan_to_Majo,7.00,#4327,#4427,"27,217",11,"Comedy, School, Shounen"
4327,Yuuki Yuuna wa Yuusha de Aru: Hidamari,7.00,https://myanimelist.net/anime/36798/Yuuki_Yuuna_wa_Yuusha_de_Aru__Hidamari,7.00,#4328,#6705,"9,801",9,"Drama, Mahou Shoujo"
4328,Kamigami no Asobi,7.00,https://myanimelist.net/anime/21563/Kamigami_no_Asobi,7.00,#4329,#1620,"149,241",771,"Fantasy, Romance, Isekai, Mythology, Reverse Harem, Josei"
4329,Koi Kaze,7.00,https://myanimelist.net/anime/634/Koi_Kaze,7.00,#4330,#2359,"87,234",465,"Drama, Romance, Psychological, Seinen"
