rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
4200,Cardfight!! Vanguard,7.03,https://myanimelist.net/anime/9539/Cardfight_Vanguard,7.03,#4201,#3075,"55,660",331,"Action, Strategy Game"
4201,Chihayafuru 2: Waga Miyo ni Furu Nagame Shima ni,7.03,https://myanimelist.net/anime/18745/Chihayafuru_2__Waga_Miyo_ni_Furu_Nagame_Shima_ni,7.03,#4202,#3458,"45,000",31,"Comedy, School, Josei"
4202,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,7.03,https://myanimelist.net/anime/23359/Code_Geass__Boukoku_no_Akito_2_-_Hikisakareshi_Yokuryuu_Picture_Drama,7.03,#4203,#5237,"18,288",50,"Action, Comedy, Military"
4203,Doraemon Movie 04: Nobita no Kaitei Kiganjou,7.03,https://myanimelist.net/anime/2667/Doraemon_Movie_04__Nobita_no_Kaitei_Kiganjou,7.03,#4204,#7950,"6,424",2,Fantasy
4204,Doraemon Movie 20: Nobita no Uchuu Hyouryuuki,7.03,https://myanimelist.net/anime/2668/Doraemon_Movie_20__Nobita_no_Uchuu_Hyouryuuki,7.03,#4205,#8297,"5,797",1,"Adventure, Comedy, Fantasy, Sci-Fi, Space, Kids, Shounen"
4205,Dosanko Gal wa Namara Menkoi,7.03,https://myanimelist.net/anime/53421/Dosanko_Gal_wa_Namara_Menkoi,7.03,#4206,#1411,"175,110",927,"Comedy, Love Status Quo, School, Shounen"
4206,"Dragon Ball Z Movie 15: Fukkatsu no ""F""",7.03,https://myanimelist.net/anime/25389/Dragon_Ball_Z_Movie_15__Fukkatsu_no_F,7.03,#4207,#1332,"187,537",139,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen"
4207,"Flanders no Inu, Boku no Patrasche",7.03,https://myanimelist.net/anime/2624/Flanders_no_Inu_Boku_no_Patrasche,7.03,#4208,#10766,"2,663",6,"Drama, Historical, Pets"
4208,Full Metal Panic! Movie 1: Boy Meets Girl,7.03,https://myanimelist.net/anime/36342/Full_Metal_Panic_Movie_1__Boy_Meets_Girl,7.03,#4209,#7121,"8,490",5,"Action, Comedy, Sci-Fi, Mecha, Military"
4209,Fushigi Mahou Fun Fun Pharmacy,7.03,https://myanimelist.net/anime/8503/Fushigi_Mahou_Fun_Fun_Pharmacy,7.03,#4210,#9332,"4,183",32,Kids
4210,Fushigi Yuugi Special: Nakago Shikkari Shinasai!,7.03,https://myanimelist.net/anime/27567/Fushigi_Yuugi_Special__Nakago_Shikkari_Shinasai,7.03,#4211,#10315,"3,049",8,Comedy
4211,Good Night World,7.03,https://myanimelist.net/anime/56146/Good_Night_World,7.03,#4212,#3118,"54,269",185,"Drama, Fantasy, Psychological, Video Game"
4212,Grisaia no Rakuen Specials,7.03,https://myanimelist.net/anime/31368/Grisaia_no_Rakuen_Specials,7.03,#4213,#2871,"63,676",37,Ecchi
