rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
4800,Kimi ga Nozomu Eien: Next Season,6.89,https://myanimelist.net/anime/3318/Kimi_ga_Nozomu_Eien__Next_Season,6.89,#4801,#4231,"29,887",31,"Drama, Romance, Love Polygon"
4801,Kurogane no Linebarrels,6.89,https://myanimelist.net/anime/3653/Kurogane_no_Linebarrels,6.89,#4802,#3512,"43,803",90,"Action, Sci-Fi, Mecha, Seinen"
4802,Kyoukai no Kanata: Mini Gekijou,6.89,https://myanimelist.net/anime/20909/Kyoukai_no_Kanata__Mini_Gekijou,6.89,#4803,#3461,"44,980",41,"Slice of Life, Supernatural"
4803,Lupin III: Prison of the Past,6.89,https://myanimelist.net/anime/40578/Lupin_III__Prison_of_the_Past,6.89,#4804,#8455,"5,561",5,"Action, Adventure, Comedy, Mystery, Adult Cast, Seinen"
4804,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,6.89,https://myanimelist.net/anime/1400/Macross_7_Movie__Ginga_ga_Ore_wo_Yondeiru,6.89,#4805,#6565,"10,280",8,"Action, Adventure, Comedy, Drama, Sci-Fi, Mecha, Music"
4805,Mahoromatic End Year Special,6.89,https://myanimelist.net/anime/632/Mahoromatic_End_Year_Special,6.89,#4806,#7742,"6,848",2,"Comedy, Romance, Sci-Fi, Ecchi, Military, Seinen"
4806,Mask Danshi wa Koishitakunai noni,6.89,https://myanimelist.net/anime/54792/Mask_Danshi_wa_Koishitakunai_noni,6.89,#4807,#5797,"14,033",91,"Boys Love, School"
4807,Mudazumo Naki Kaikaku: The Legend of Koizumi,6.89,https://myanimelist.net/anime/6946/Mudazumo_Naki_Kaikaku__The_Legend_of_Koizumi,6.89,#4808,#5785,"14,093",35,"Comedy, Parody, Strategy Game, Seinen"
4808,Mukamuka Paradise,6.89,https://myanimelist.net/anime/4086/Mukamuka_Paradise,6.89,#4809,#10097,"3,271",5,"Adventure, Comedy"
4809,Nekomonogatari: Kuro Recap,6.89,https://myanimelist.net/anime/38971/Nekomonogatari__Kuro_Recap,6.89,#4810,#6129,"12,185",12,Supernatural
4810,Noblesse,6.89,https://myanimelist.net/anime/41345/Noblesse,6.89,#4811,#834,"306,208","1,240","Action, Supernatural, School, Vampire"
4811,Occultic;Nine,6.89,https://myanimelist.net/anime/32962/Occultic_Nine,6.89,#4812,#1266,"198,252",467,"Mystery, Sci-Fi"
4812,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta… Movie,6.89,https://myanimelist.net/anime/49842/Otome_Game_no_Hametsu_Flag_shika_Nai_Akuyaku_Reijou_ni_Tensei_shiteshimatta…_Movie,6.89,#4813,#3672,"40,466",161,"Comedy, Fantasy, Romance, Isekai, Reverse Harem, School, Villainess, Shoujo"
4813,Persona 5 the Animation TV Specials,6.89,https://myanimelist.net/anime/38431/Persona_5_the_Animation_TV_Specials,6.89,#4814,#3845,"36,576",42,"Action, Supernatural, School, Super Power"
4814,Pokemon Side Stories,6.89,https://myanimelist.net/anime/2363/Pokemon_Side_Stories,6.89,#4815,#4023,"33,454",15,"Adventure, Comedy, Fantasy, Kids"
4815,Princess Principal: Crown Handler Movie 1 - Busy Easy Money,6.89,https://myanimelist.net/anime/49138/Princess_Principal__Crown_Handler_Movie_1_-_Busy_Easy_Money,6.89,#4816,#7893,"6,557",19,"Comedy, Mystery, Historical"
4816,Punch Line,6.89,https://myanimelist.net/anime/28617/Punch_Line,6.89,#4817,#1061,"238,702",641,"Comedy, Sci-Fi, Supernatural, Ecchi, Super Power, Time Travel"
4817,Samurai Deeper Kyou,6.89,https://myanimelist.net/anime/419/Samurai_Deeper_Kyou,6.89,#4818,#3021,"57,831",202,"Action, Adventure, Comedy, Supernatural, Historical, Samurai, Shounen"
