rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
4950,Yu☆Gi☆Oh! (Movie),6.87,https://myanimelist.net/anime/2006/Yu☆Gi☆Oh_Movie,6.87,#4951,#3123,"54,386",104,"Adventure, Comedy, Fantasy, Strategy Game, Shounen"
4951,Shin Tenchi Muyou!,6.86,https://myanimelist.net/anime/538/Shin_Tenchi_Muyou,6.86,#4952,#3773,"38,362",85,"Comedy, Romance, Sci-Fi, Harem"
4952,Soul Eater: Late Night Show,6.86,https://myanimelist.net/anime/21195/Soul_Eater__Late_Night_Show,6.86,#4953,#4309,"28,738",42,"Action, Comedy, Fantasy"
4953,Spy x Family Movie: Code: White Manner Movie,6.86,https://myanimelist.net/anime/58159/Spy_x_Family_Movie__Code__White_Manner_Movie,6.86,#4954,#9474,"4,021",12,"Comedy, Educational"
4954,Tenjou Tenge,6.86,https://myanimelist.net/anime/174/Tenjou_Tenge,6.86,#4955,#1301,"193,197",615,"Action, Drama, Supernatural, Ecchi, Delinquents, Martial Arts, School, Super Power, Seinen"
4955,Tennis no Oujisama: Mini Theater,6.86,https://myanimelist.net/anime/10276/Tennis_no_Oujisama__Mini_Theater,6.86,#4956,#9063,"4,617",2,Comedy
4956,Uchi no Maid ga Uzasugiru!,6.86,https://myanimelist.net/anime/37722/Uchi_no_Maid_ga_Uzasugiru,6.86,#4957,#1891,"122,881",189,"Comedy, Girls Love"
4957,Uchi no Maid ga Uzasugiru!: Uchi no Maid wa Yappari Mou Honto Uzainda naa...,6.86,https://myanimelist.net/anime/39606/Uchi_no_Maid_ga_Uzasugiru__Uchi_no_Maid_wa_Yappari_Mou_Honto_Uzainda_naa,6.86,#4958,#5109,"19,519",3,"Comedy, Girls Love"
4958,Uchuu Senkan Yamato: Kanketsu-hen,6.86,https://myanimelist.net/anime/3072/Uchuu_Senkan_Yamato__Kanketsu-hen,6.86,#4959,#8924,"4,843",7,"Action, Adventure, Drama, Sci-Fi, Adult Cast, Military, Space"
4959,Uta no☆Prince-sama♪ Maji Love ST☆RISH Tours: Tabi no Hajimari,6.86,https://myanimelist.net/anime/52573/Uta_no☆Prince-sama♪_Maji_Love_ST☆RISH_Tours__Tabi_no_Hajimari,6.86,#4960,#10439,"2,957",12,"Comedy, Romance, Idols (Male), Music, Reverse Harem, Josei"
4960,Versailles no Bara: Seimei Aru Kagiri Aishite,6.86,https://myanimelist.net/anime/3868/Versailles_no_Bara__Seimei_Aru_Kagiri_Aishite,6.86,#4961,#9637,"3,826",5,"Drama, Romance, Crossdressing, Historical, Military, Shoujo"
4961,Yama no Susume Second Season Specials,6.86,https://myanimelist.net/anime/27887/Yama_no_Susume_Second_Season_Specials,6.86,#4962,#6265,"11,541",1,"Slice of Life, CGDCT, Iyashikei"
4962,Zettai Shounen,6.86,https://myanimelist.net/anime/308/Zettai_Shounen,6.86,#4963,#4927,"21,431",71,"Drama, Fantasy, Mystery, Sci-Fi"
