rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
4550,Tezuka Osamu no Buddha: Akai Sabaku yo! Utsukushiku,6.95,https://myanimelist.net/anime/7014/Tezuka_Osamu_no_Buddha__Akai_Sabaku_yo_Utsukushiku,6.95,#4551,#6538,"10,370",19,"Drama, Supernatural, Historical, Military"
4551,To Be Hero,6.95,https://myanimelist.net/anime/34009/To_Be_Hero,6.95,#4552,#2832,"65,096",169,Comedy
4552,Uchuu Senkan Yamato: Fukkatsu-hen,6.95,https://myanimelist.net/anime/7144/Uchuu_Senkan_Yamato__Fukkatsu-hen,6.95,#4553,#8838,"4,965",7,"Action, Adventure, Drama, Sci-Fi, Adult Cast, Military, Space"
4553,Wu Geng Ji 4th Season,6.95,https://myanimelist.net/anime/49398/Wu_Geng_Ji_4th_Season,6.95,#4554,#12141,"1,729",13,"Action, Fantasy, Supernatural, Historical, Martial Arts"
4554,Yi Ren Zhi Xia 4th season,6.95,https://myanimelist.net/anime/49915/Yi_Ren_Zhi_Xia_4th_season,6.95,#4555,#5859,"13,652",44,"Action, Supernatural, Super Power"
4555,Youkai Watch Movie 4: Shadow Side - Oni-ou no Fukkatsu,6.95,https://myanimelist.net/anime/34471/Youkai_Watch_Movie_4__Shadow_Side_-_Oni-ou_no_Fukkatsu,6.95,#4556,#11043,"2,453",9,"Supernatural, Mythology, Kids"
4556,Ze Tian Ji 3rd Season,6.95,https://myanimelist.net/anime/37185/Ze_Tian_Ji_3rd_Season,6.95,#4557,#9911,"3,467",5,"Action, Adventure, Fantasy"
4557,Strike the Blood IV,6.94,https://myanimelist.net/anime/40485/Strike_the_Blood_IV,6.94,#4558,#2313,"90,525",185,"Action, Fantasy, Ecchi, Harem, School, Urban Fantasy, Vampire"
4558,Strike Witches,6.94,https://myanimelist.net/anime/3667/Strike_Witches,6.94,#4559,#1413,"174,971","1,074","Action, Sci-Fi, Ecchi, Military"
4559,Suu-funkan no Yell wo,6.94,https://myanimelist.net/anime/57915/Suu-funkan_no_Yell_wo,6.94,#4560,#8915,"4,836",16,Music
4560,Taiho Shichau zo: Full Throttle - Watashitachi no Iru Basho,6.94,https://myanimelist.net/anime/6312/Taiho_Shichau_zo__Full_Throttle_-_Watashitachi_no_Iru_Basho,6.94,#4561,#9665,"3,768",1,"Action, Adventure, Comedy, Detective, Workplace"
4561,Toku: Touken Ranbu - Hanamaru - Setsugetsuka,6.94,https://myanimelist.net/anime/47777/Toku__Touken_Ranbu_-_Hanamaru_-_Setsugetsuka,6.94,#4562,#8758,"5,088",32,"Action, Comedy, Drama, Fantasy, Slice of Life, Historical"
4562,Tropical-Rouge! Precure Movie: Yuki no Princess to Kiseki no Yubiwa!,6.94,https://myanimelist.net/anime/49426/Tropical-Rouge_Precure_Movie__Yuki_no_Princess_to_Kiseki_no_Yubiwa,6.94,#4563,#10469,"2,911",8,"Action, Mahou Shoujo"
