rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
4850,Koisuru Asteroid,6.88,https://myanimelist.net/anime/39388/Koisuru_Asteroid,6.88,#4851,#2298,"91,843",324,"Slice of Life, CGDCT, School"
4851,Koukou Tekken-den Tough,6.88,https://myanimelist.net/anime/2797/Koukou_Tekken-den_Tough,6.88,#4852,#9003,"4,696",18,"Action, Martial Arts, Seinen"
4852,Koutetsushin Jeeg,6.88,https://myanimelist.net/anime/2157/Koutetsushin_Jeeg,6.88,#4853,#7521,"7,383",11,"Sci-Fi, Mecha"
4853,Kyoukai no Rinne,6.88,https://myanimelist.net/anime/28423/Kyoukai_no_Rinne,6.88,#4854,#2328,"89,883",133,"Comedy, Supernatural, Mythology, School, Shounen"
4854,Love Live! Sunshine!! Recap,6.88,https://myanimelist.net/anime/36473/Love_Live_Sunshine_Recap,6.88,#4855,#7477,"7,479",9,"Idols (Female), Music"
4855,Lupin III: Harimao no Zaihou wo Oe!!,6.88,https://myanimelist.net/anime/1434/Lupin_III__Harimao_no_Zaihou_wo_Oe,6.88,#4856,#7255,"8,134",2,"Action, Adventure, Comedy, Mystery, Adult Cast, Seinen"
4856,Lupin III: Twilight Gemini no Himitsu,6.88,https://myanimelist.net/anime/1436/Lupin_III__Twilight_Gemini_no_Himitsu,6.88,#4857,#7101,"8,565",5,"Action, Adventure, Comedy, Adult Cast, Shounen"
4857,Massara,6.88,https://myanimelist.net/anime/50597/Massara,6.88,#4858,#10871,"2,602",10,"Slice of Life, Music"
4858,Miyori no Mori,6.88,https://myanimelist.net/anime/2751/Miyori_no_Mori,6.88,#4859,#5816,"13,950",21,"Adventure, Drama, Fantasy, Shoujo"
4859,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,6.88,https://myanimelist.net/anime/936/Naruto_Movie_2__Dai_Gekitotsu_Maboroshi_no_Chiteiiseki_Dattebayo,6.88,#4860,#1044,"243,251",173,"Action, Adventure, Fantasy, Shounen"
4860,Nerawareta Gakuen,6.88,https://myanimelist.net/anime/14293/Nerawareta_Gakuen,6.88,#4861,#2223,"97,245",208,"Romance, Sci-Fi, School"
4861,Ninin ga Shinobuden,6.88,https://myanimelist.net/anime/229/Ninin_ga_Shinobuden,6.88,#4862,#3870,"36,194",136,"Comedy, Martial Arts, Parody"
4862,Pandane to Tamago-hime,6.88,https://myanimelist.net/anime/9798/Pandane_to_Tamago-hime,6.88,#4863,#8211,"5,960",6,"Adventure, Fantasy"
4863,Precure All Stars GoGo Dream Live!,6.88,https://myanimelist.net/anime/10549/Precure_All_Stars_GoGo_Dream_Live,6.88,#4864,#9096,"4,567",7,"Action, Mahou Shoujo"
4864,Promare: Galo-hen,6.88,https://myanimelist.net/anime/39991/Promare__Galo-hen,6.88,#4865,#4247,"29,661",10,"Action, Sci-Fi, Mecha, Super Power"
4865,Qin Shi Mingyue: Zhu Zi Bai Jia,6.88,https://myanimelist.net/anime/11835/Qin_Shi_Mingyue__Zhu_Zi_Bai_Jia,6.88,#4866,#12572,"1,519",6,"Action, Fantasy, Historical, Martial Arts"
4866,Radiant,6.88,https://myanimelist.net/anime/37202/Radiant,6.88,#4867,#1169,"219,794",450,"Action, Adventure, Fantasy"
4867,Rinne no Lagrange,6.88,https://myanimelist.net/anime/11227/Rinne_no_Lagrange,6.88,#4868,#2618,"74,158",146,"Action, Comedy, Sci-Fi, Mecha"
4868,Rosario to Vampire Capu2,6.88,https://myanimelist.net/anime/4214/Rosario_to_Vampire_Capu2,6.88,#4869,#563,"427,469","1,116","Comedy, Romance, Supernatural, Ecchi, Harem, Mythology, School, Vampire, Shounen"
