rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
4650,Mushrambo,6.93,https://myanimelist.net/anime/1137/Mushrambo,6.93,#4651,#5380,"16,965",81,"Adventure, Drama, Fantasy, Sci-Fi"
4651,Negima!?,6.93,https://myanimelist.net/anime/1546/Negima,6.93,#4652,#2209,"97,758",265,"Comedy, Fantasy, Romance, Ecchi, Harem, School"
4652,Onegai My Melody Sukkiri♪,6.93,https://myanimelist.net/anime/5520/Onegai_My_Melody_Sukkiri♪,6.93,#4653,#9538,"3,908",8,"Comedy, Fantasy"
4653,Orenchi no Furo Jijou,6.93,https://myanimelist.net/anime/24211/Orenchi_no_Furo_Jijou,6.93,#4654,#1959,"116,603",407,"Comedy, Fantasy, Josei"
4654,Pokemon Diamond & Pearl Specials,6.93,https://myanimelist.net/anime/10302/Pokemon_Diamond___Pearl_Specials,6.93,#4655,#6106,"12,279",5,"Action, Comedy, Fantasy, Kids"
4655,Porphy no Nagai Tabi,6.93,https://myanimelist.net/anime/3424/Porphy_no_Nagai_Tabi,6.93,#4656,#9937,"3,438",5,"Drama, Historical"
4656,Precure All Stars DX the Dance Live♥: Miracle Dance Stage e Youkoso,6.93,https://myanimelist.net/anime/11569/Precure_All_Stars_DX_the_Dance_Live♥__Miracle_Dance_Stage_e_Youkoso,6.93,#4657,#10481,"2,905",3,"Mahou Shoujo, Music"
4657,Qin Shi Mingyue: Tian Xing Jiu Ge,6.93,https://myanimelist.net/anime/36732/Qin_Shi_Mingyue__Tian_Xing_Jiu_Ge,6.93,#4658,#11695,"2,008",8,"Action, Fantasy, Historical, Martial Arts"
4658,Release the Spyce,6.93,https://myanimelist.net/anime/37221/Release_the_Spyce,6.93,#4659,#2602,"74,654",220,"Action, School"
4659,Ro-Kyu-Bu!: Tomoka no Ichigo Sundae,6.93,https://myanimelist.net/anime/15807/Ro-Kyu-Bu__Tomoka_no_Ichigo_Sundae,6.93,#4660,#5262,"18,009",8,"Comedy, Sports, Ecchi, School, Team Sports"
4660,Rougo ni Sonaete Isekai de 8-manmai no Kinka wo Tamemasu,6.93,https://myanimelist.net/anime/52461/Rougo_ni_Sonaete_Isekai_de_8-manmai_no_Kinka_wo_Tamemasu,6.93,#4661,#2150,"101,939",309,"Fantasy, Isekai"
4661,Kyokou Suiri,6.92,https://myanimelist.net/anime/39017/Kyokou_Suiri,6.92,#4662,#473,"496,390","1,398","Mystery, Romance, Supernatural, Adult Cast, Mythology, Shounen"
4662,Lengxue Kuang Yan,6.92,https://myanimelist.net/anime/45042/Lengxue_Kuang_Yan,6.92,#4663,#17601,417,1,"Action, Fantasy"
4663,Mahou Sensei Negima!,6.92,https://myanimelist.net/anime/157/Mahou_Sensei_Negima,6.92,#4664,#1665,"144,279",504,"Action, Comedy, Fantasy, Romance, Ecchi, Harem, School, Super Power, Shounen"
4664,Metal Fight Beyblade,6.92,https://myanimelist.net/anime/5962/Metal_Fight_Beyblade,6.92,#4665,#2210,"97,635",464,"Adventure, Comedy, Sports, Kids"
4665,Murenase! Seton Gakuen,6.92,https://myanimelist.net/anime/40483/Murenase_Seton_Gakuen,6.92,#4666,#1224,"206,605",540,"Comedy, Ecchi, Anthropomorphic, School"
4666,Nanbaka: Shusseki Bangou no Tsuita Baka-tachi!,6.92,https://myanimelist.net/anime/34533/Nanbaka__Shusseki_Bangou_no_Tsuita_Baka-tachi,6.92,#4667,#4010,"33,634",51,"Action, Comedy, School"
4667,Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panic Dattebayo!,6.92,https://myanimelist.net/anime/2144/Naruto_Movie_3__Dai_Koufun_Mikazuki_Jima_no_Animaru_Panic_Dattebayo,6.92,#4668,#1178,"216,234",165,"Action, Adventure, Fantasy, Shounen"
4668,Nekopara OVA,6.92,https://myanimelist.net/anime/34658/Nekopara_OVA,6.92,#4669,#2487,"80,858",295,"Comedy, Romance, Anthropomorphic"
4669,Overman King Gainer,6.92,https://myanimelist.net/anime/1792/Overman_King_Gainer,6.92,#4670,#5697,"14,593",40,"Action, Adventure, Sci-Fi, Mecha"
