rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
4050,Fei Ren Zai 1st Season Part 2,7.06,https://myanimelist.net/anime/42454/Fei_Ren_Zai_1st_Season_Part_2,7.06,#4051,#13355,"1,200",1,"Comedy, Supernatural, Mythology"
4051,GA: Geijutsuka Art Design Class - Aozora ga Kakitai,7.06,https://myanimelist.net/anime/6959/GA__Geijutsuka_Art_Design_Class_-_Aozora_ga_Kakitai,7.06,#4052,#8793,"5,044",1,"Slice of Life, CGDCT, School, Visual Arts"
4052,Gakuen Utopia Manabi Straight!: Natsu da! Manabi da! Kyouka Gasshuku da!,7.06,https://myanimelist.net/anime/3219/Gakuen_Utopia_Manabi_Straight__Natsu_da_Manabi_da_Kyouka_Gasshuku_da,7.06,#4052,#8793,"5,044",1,"Slice of Life, CGDCT, School, Visual Arts"
4053,Gekijou Tanpen Macross Frontier: Toki no Meikyuu,7.06,https://myanimelist.net/anime/47409/Gekijou_Tanpen_Macross_Frontier__Toki_no_Meikyuu,7.06,#4054,#10162,"3,190",11,"Action, Romance, Sci-Fi, Mecha, Military, Music, Space"
4054,Gundam Build Divers Re:Rise,7.06,https://myanimelist.net/anime/40192/Gundam_Build_Divers_Re_Rise,7.06,#4055,#5329,"17,353",60,"Action, Sci-Fi, Mecha"
4055,Gunnm,7.06,https://myanimelist.net/anime/1016/Gunnm,7.06,#4056,#2859,"63,988",275,"Drama, Sci-Fi, Mecha, Seinen"
4056,Hakuouki OVA (2021),7.06,https://myanimelist.net/anime/49338/Hakuouki_OVA_2021,7.06,#4057,#7968,"6,388",30,"Action, Drama, Supernatural, Historical, Samurai, Josei"
4057,High Card Season 2,7.06,https://myanimelist.net/anime/54869/High_Card_Season_2,7.06,#4058,#3523,"43,571",150,"Action, Fantasy, Adult Cast, Organized Crime"
4058,IGPX: Immortal Grand Prix (2005),7.06,https://myanimelist.net/anime/3270/IGPX__Immortal_Grand_Prix_2005,7.06,#4059,#4882,"21,717",87,"Action, Drama, Sci-Fi, Mecha, Racing"
4059,2.5-jigen no Ririsa,7.05,https://myanimelist.net/anime/53802/25-jigen_no_Ririsa,7.05,#4060,#2076,"107,396",578,"Comedy, Ecchi, Harem, Otaku Culture, School, Shounen"
4060,Ao no Exorcist: Ura Ex,7.05,https://myanimelist.net/anime/10647/Ao_no_Exorcist__Ura_Ex,7.05,#4061,#2310,"90,727",47,"Comedy, Shounen"
4061,Appleseed (Movie),7.05,https://myanimelist.net/anime/54/Appleseed_Movie,7.05,#4062,#2586,"75,436",179,"Action, Sci-Fi, Mecha, Military"
4062,Armitage III: Poly-Matrix,7.05,https://myanimelist.net/anime/493/Armitage_III__Poly-Matrix,7.05,#4063,#5446,"16,387",41,"Action, Mystery, Romance, Sci-Fi, Detective, Mecha, Military"
4063,Azumanga Daiou: Gekijou Tanpen,7.05,https://myanimelist.net/anime/659/Azumanga_Daiou__Gekijou_Tanpen,7.05,#4064,#3453,"45,074",27,"Comedy, CGDCT, Gag Humor, School"
4064,Blue Archive the Animation,7.05,https://myanimelist.net/anime/54309/Blue_Archive_the_Animation,7.05,#4065,#2881,"63,074","1,050","Action, Fantasy, School"
4065,Di Gi Charat Nyo,7.05,https://myanimelist.net/anime/1683/Di_Gi_Charat_Nyo,7.05,#4066,#7112,"8,505",50,"Comedy, Fantasy, Sci-Fi"
4066,Digimon Tamers: Bousou Digimon Tokkyuu,7.05,https://myanimelist.net/anime/3033/Digimon_Tamers__Bousou_Digimon_Tokkyuu,7.05,#4067,#4479,"26,590",11,"Adventure, Comedy, Sci-Fi"
4067,Dual! Parallel Lun-Lun Monogatari,7.05,https://myanimelist.net/anime/992/Dual_Parallel_Lun-Lun_Monogatari,7.05,#4068,#5092,"19,602",68,"Action, Comedy, Sci-Fi, Harem, Isekai, Mecha"
4068,Ensemble Stars!! Tsuioku Selection Crossroad,7.05,https://myanimelist.net/anime/55125/Ensemble_Stars_Tsuioku_Selection_Crossroad,7.05,#4069,#12228,"1,682",4,Idols (Male)
4069,Escaflowne,7.05,https://myanimelist.net/anime/393/Escaflowne,7.05,#4070,#2614,"74,064",228,"Adventure, Drama, Fantasy, Romance, Sci-Fi, Isekai, Mecha"
4070,Fanpai Chushihua,7.05,https://myanimelist.net/anime/58476/Fanpai_Chushihua,7.05,#4071,#15042,735,0,"Action, Sci-Fi, School, Super Power"
4071,Full Metal Panic! Movie 3: Into the Blue,7.05,https://myanimelist.net/anime/36344/Full_Metal_Panic_Movie_3__Into_the_Blue,7.05,#4072,#7308,"7,925",6,"Action, Comedy, Sci-Fi, Mecha, Military"
4072,Futsuu no Joshikousei ga [Locodol] Yattemita. OVA,7.05,https://myanimelist.net/anime/30988/Futsuu_no_Joshikousei_ga_Locodol_Yattemita_OVA,7.05,#4073,#7185,"8,303",4,"Comedy, Slice of Life, Idols (Female)"
4073,Grander Musashi RV,7.05,https://myanimelist.net/anime/2416/Grander_Musashi_RV,7.05,#4074,#10266,"3,085",10,"Adventure, Sports"
4074,Great Mazinger,7.05,https://myanimelist.net/anime/5658/Great_Mazinger,7.05,#4075,#7785,"6,766",24,"Action, Sci-Fi, Mecha, Shounen"
4075,"Hetalia Axis Powers Movie: Paint it, White",7.05,https://myanimelist.net/anime/7337/Hetalia_Axis_Powers_Movie__Paint_it_White,7.05,#4076,#2955,"60,194",202,"Comedy, Historical, Parody"
4076,Hi no Tori,7.05,https://myanimelist.net/anime/1371/Hi_no_Tori,7.05,#4077,#6385,"10,969",31,"Adventure, Drama, Sci-Fi, Supernatural, Historical"
4077,Houkago no Breath,7.05,https://myanimelist.net/anime/56218/Houkago_no_Breath,7.05,#4078,#7473,"7,440",13,Kids
4078,Iria: Zeiram The Animation,7.05,https://myanimelist.net/anime/432/Iria__Zeiram_The_Animation,7.05,#4079,#4339,"28,292",135,"Action, Adventure, Sci-Fi, Space"
4079,Jashin-chan Dropkick,7.05,https://myanimelist.net/anime/36906/Jashin-chan_Dropkick,7.05,#4080,#1804,"129,507",486,"Comedy, Supernatural, Gag Humor, Mythology"
4080,Shakunetsu no Takkyuu Musume,7.05,https://myanimelist.net/anime/33031/Shakunetsu_no_Takkyuu_Musume,7.05,#4081,#3402,"46,223",143,Sports
4081,Show By Rock!! #,7.05,https://myanimelist.net/anime/32038/Show_By_Rock_,7.05,#4082,#4079,"32,658",73,"Comedy, Fantasy, Isekai, Music"
