rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
4700,"Zone of the Enders: Dolores, I",6.92,https://myanimelist.net/anime/1249/Zone_of_the_Enders__Dolores_I,6.92,#4701,#5942,"13,128",37,"Action, Adventure, Comedy, Sci-Fi, Mecha, Military, Space"
4701,Sekai Meisaku Douwa: Hakuchou no Mizuumi,6.91,https://myanimelist.net/anime/3186/Sekai_Meisaku_Douwa__Hakuchou_no_Mizuumi,6.91,#4702,#9222,"4,343",20,"Drama, Fantasy, Romance"
4702,Senki Zesshou Symphogear XV: Senki Zesshou Shinai Symphogear,6.91,https://myanimelist.net/anime/40659/Senki_Zesshou_Symphogear_XV__Senki_Zesshou_Shinai_Symphogear,6.91,#4703,#9017,"4,655",3,"Comedy, Slice of Life, Idols (Female)"
4703,Shi Yi Chang An: Mingyue Jishi You,6.91,https://myanimelist.net/anime/41223/Shi_Yi_Chang_An__Mingyue_Jishi_You,6.91,#4704,#6618,"10,096",60,"Romance, Historical"
4704,"Shikabane Hime: Kuro – Soredemo, Hito to Shite",6.91,https://myanimelist.net/anime/6344/Shikabane_Hime__Kuro_–_Soredemo_Hito_to_Shite,6.91,#4705,#5487,"16,136",9,"Action, Horror, Supernatural, Shounen"
4705,Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou,6.91,https://myanimelist.net/anime/29027/Shinmai_Maou_no_Testament__Toujou_Basara_no_Hard_Sweet_na_Nichijou,6.91,#4706,#1790,"131,292",110,"Action, Fantasy, Romance, Ecchi, Harem, Mythology"
4706,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",6.91,https://myanimelist.net/anime/40586/Slime_Taoshite_300-nen_Shiranai_Uchi_ni_Level_Max_ni_Nattemashita,6.91,#4707,#602,"403,333","2,193","Comedy, Fantasy, CGDCT, Isekai, Reincarnation"
4707,Sonic★the★Hedgehog,6.91,https://myanimelist.net/anime/2263/Sonic★the★Hedgehog,6.91,#4708,#5001,"20,611",240,"Adventure, Comedy, Sci-Fi, Anthropomorphic"
4708,Super Fishing Grander Musashi,6.91,https://myanimelist.net/anime/2415/Super_Fishing_Grander_Musashi,6.91,#4709,#8493,"5,497",14,"Adventure, Sports, Kids"
4709,Tantei Opera Milky Holmes,6.91,https://myanimelist.net/anime/7768/Tantei_Opera_Milky_Holmes,6.91,#4710,#3392,"46,380",225,"Comedy, Mystery, Detective, Parody, Super Power"
4710,Tezuka Osamu no Buddha: Owarinaki Tabi,6.91,https://myanimelist.net/anime/20969/Tezuka_Osamu_no_Buddha__Owarinaki_Tabi,6.91,#4711,#9127,"4,493",4,"Drama, Supernatural, Historical"
4711,UQ Holder! Mahou Sensei Negima! 2,6.91,https://myanimelist.net/anime/33478/UQ_Holder_Mahou_Sensei_Negima_2,6.91,#4712,#1160,"220,230",402,"Action, Fantasy, Sci-Fi, Shounen"
4712,Urusei Yatsura Movie 3: Remember My Love,6.91,https://myanimelist.net/anime/1922/Urusei_Yatsura_Movie_3__Remember_My_Love,6.91,#4713,#6720,"9,759",12,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi, Shounen"
4713,Yu☆Gi☆Oh! Zexal Second,6.91,https://myanimelist.net/anime/15489/Yu☆Gi☆Oh_Zexal_Second,6.91,#4714,#3571,"42,494",250,"Action, Fantasy, Strategy Game, Shounen"
4714,Keijo!!!!!!!!,6.91,https://myanimelist.net/anime/32686/Keijo,6.91,#4715,#588,"409,821","1,428","Sports, Ecchi, Combat Sports, Shounen"
4715,Kinnikuman II Sei,6.91,https://myanimelist.net/anime/1707/Kinnikuman_II_Sei,6.91,#4716,#5206,"18,486",67,"Comedy, Sci-Fi, Sports, Combat Sports"
4716,Lost Song,6.91,https://myanimelist.net/anime/34338/Lost_Song,6.91,#4717,#3246,"50,401",196,"Drama, Fantasy"
4717,Lupin III: Lupin Ansatsu Shirei,6.91,https://myanimelist.net/anime/1438/Lupin_III__Lupin_Ansatsu_Shirei,6.91,#4718,#6961,"8,909",5,"Action, Adventure, Comedy, Mystery, Adult Cast, Seinen"
4718,Mahou no Princess Minky Momo,6.91,https://myanimelist.net/anime/518/Mahou_no_Princess_Minky_Momo,6.91,#4719,#6563,"10,284",38,"Fantasy, Mahou Shoujo"
4719,Mewkledreamy Mix!,6.91,https://myanimelist.net/anime/44273/Mewkledreamy_Mix,6.91,#4720,#10799,"2,641",15,"Adventure, Fantasy, Kids"
4720,Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,6.91,https://myanimelist.net/anime/39948/Muhyo_to_Rouji_no_Mahouritsu_Soudan_Jimusho_2nd_Season,6.91,#4721,#4438,"27,014",43,"Mystery, Supernatural, Mythology, Shounen"
4721,Namiuchigiwa no Muromi-san,6.91,https://myanimelist.net/anime/16910/Namiuchigiwa_no_Muromi-san,6.91,#4722,#3564,"42,580",52,"Comedy, Fantasy, Slice of Life, Shounen"
4722,Night Walker: Mayonaka no Tantei,6.91,https://myanimelist.net/anime/621/Night_Walker__Mayonaka_no_Tantei,6.91,#4723,#4825,"22,360",109,"Action, Horror, Mystery, Supernatural, Detective, Vampire"
4723,Nurse Angel Ririka SOS,6.91,https://myanimelist.net/anime/616/Nurse_Angel_Ririka_SOS,6.91,#4724,#8433,"5,603",24,"Drama, Fantasy, Mahou Shoujo, Shoujo"
4724,"Ore wa Subete wo ""Parry"" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai",6.91,https://myanimelist.net/anime/57058/Ore_wa_Subete_wo_Parry_suru__Gyaku_Kanchigai_no_Sekai_Saikyou_wa_Boukensha_ni_Naritai,6.91,#4725,#1641,"146,877",510,"Action, Adventure, Fantasy"
4725,Oroka na Tenshi wa Akuma to Odoru,6.91,https://myanimelist.net/anime/55129/Oroka_na_Tenshi_wa_Akuma_to_Odoru,6.91,#4726,#1947,"117,003",400,"Comedy, Supernatural, Love Status Quo, Mythology, School, Seinen"
4726,Otogizoushi,6.91,https://myanimelist.net/anime/525/Otogizoushi,6.91,#4727,#5187,"18,651",48,"Adventure, Drama, Fantasy, Historical"
4727,Persona 5 the Animation Specials,6.91,https://myanimelist.net/anime/39591/Persona_5_the_Animation_Specials,6.91,#4728,#5587,"15,308",18,"Comedy, Slice of Life"
4728,Pita Ten,6.91,https://myanimelist.net/anime/162/Pita_Ten,6.91,#4729,#4619,"24,801",88,"Comedy, Fantasy, Romance, School, Shounen"
4729,Pokemon Movie 04: Celebi Toki wo Koeta Deai,6.91,https://myanimelist.net/anime/1119/Pokemon_Movie_04__Celebi_Toki_wo_Koeta_Deai,6.91,#4730,#1543,"159,101",70,"Adventure, Comedy, Drama, Fantasy, Kids"
4730,Precure Super Stars! Movie,6.91,https://myanimelist.net/anime/36995/Precure_Super_Stars_Movie,6.91,#4731,#9516,"3,933",7,"Action, Mahou Shoujo"
4731,Rocket Girls,6.91,https://myanimelist.net/anime/1942/Rocket_Girls,6.91,#4732,#6724,"9,749",26,"Adventure, Sci-Fi, Space"
4732,Rockman.EXE,6.91,https://myanimelist.net/anime/1710/RockmanEXE,6.91,#4733,#3647,"40,842",153,"Action, Adventure, Comedy, Sci-Fi, Video Game"
4733,3x3 Eyes: Seima Densetsu,6.91,https://myanimelist.net/anime/1225/3x3_Eyes__Seima_Densetsu,6.91,#4734,#5523,"15,825",45,"Action, Adventure, Fantasy, Horror, Romance, Gore, Mythology, Seinen"
4734,Ace wo Nerae! (1979),6.91,https://myanimelist.net/anime/313/Ace_wo_Nerae_1979,N/A,N/A,N/A,N/A,N/A,N/A
4735,Aldnoah.Zero Part 2,6.91,https://myanimelist.net/anime/27655/AldnoahZero_Part_2,6.91,#4736,#801,"315,438",746,"Action, Sci-Fi, Mecha, Space"
4736,Anhe Zhuan,6.91,https://myanimelist.net/anime/51727/Anhe_Zhuan,6.91,#4737,#13017,"1,303",5,"Action, Adventure, Mystery, Historical, Martial Arts"
4737,Animation Seisaku Shinkou Kuromi-chan 2,6.91,https://myanimelist.net/anime/1798/Animation_Seisaku_Shinkou_Kuromi-chan_2,6.91,#4738,#7802,"6,720",3,"Comedy, Drama, Otaku Culture, Parody"
4738,Bomberman Jetters,6.91,https://myanimelist.net/anime/751/Bomberman_Jetters,6.91,#4739,#8776,"5,064",55,"Action, Adventure, Comedy, Sci-Fi, Space"
4739,Campione! Matsurowanu Kamigami to Kamigoroshi no Maou,6.91,https://myanimelist.net/anime/12293/Campione_Matsurowanu_Kamigami_to_Kamigoroshi_no_Maou,6.91,#4740,#609,"399,608","1,307","Action, Comedy, Romance, Supernatural, Ecchi, Harem, Mythology"
4740,Crayon Shin-chan Movie 26: Bakumori! Kung Fu Boys - Ramen Tairan,6.91,https://myanimelist.net/anime/36566/Crayon_Shin-chan_Movie_26__Bakumori_Kung_Fu_Boys_-_Ramen_Tairan,6.91,#4741,#10275,"3,078",1,"Comedy, Seinen"
4741,Crayon Shin-chan Movie 27: Shinkon Ryokou Hurricane - Ushinawareta Hiroshi,6.91,https://myanimelist.net/anime/38629/Crayon_Shin-chan_Movie_27__Shinkon_Ryokou_Hurricane_-_Ushinawareta_Hiroshi,6.91,#4742,#10692,"2,728",4,"Comedy, Seinen"
4742,Days OVA,6.91,https://myanimelist.net/anime/34008/Days_OVA,6.91,#4743,#6983,"8,862",8,"Sports, School, Team Sports, Shounen"
4743,Deadman Wonderland: Akai Knife Tsukai,6.91,https://myanimelist.net/anime/10418/Deadman_Wonderland__Akai_Knife_Tsukai,6.91,#4744,#1733,"136,245",60,"Action, Horror, Sci-Fi, Shounen"
4744,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,6.91,https://myanimelist.net/anime/44983/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_III_OVA,6.91,#4745,#2466,"81,881",211,"Adventure, Comedy, Fantasy, Ecchi"
4745,Friends: Mononoke Shima no Naki,6.91,https://myanimelist.net/anime/10115/Friends__Mononoke_Shima_no_Naki,6.91,#4746,#12733,"1,429",7,"Comedy, Fantasy, Kids"
4746,Gate Keepers,6.91,https://myanimelist.net/anime/127/Gate_Keepers,6.91,#4747,#4752,"23,172",62,"Action, Comedy, Fantasy, Sci-Fi, Mecha"
4747,Gokujou Seitokai,6.91,https://myanimelist.net/anime/456/Gokujou_Seitokai,6.91,#4748,#4970,"20,863",73,"Comedy, Slice of Life, School"
4748,Hashire Melos (Movie),6.91,https://myanimelist.net/anime/4876/Hashire_Melos_Movie,6.91,#4749,#7390,"7,657",11,"Action, Adventure, Adult Cast, Historical"
4749,16bit Sensation: Another Layer,6.90,https://myanimelist.net/anime/54041/16bit_Sensation__Another_Layer,6.90,#4750,#3086,"55,296",233,"Comedy, Sci-Fi, Adult Cast, Otaku Culture, Time Travel, Workplace"
