rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
4900,Houkago no Oujisama,6.88,https://myanimelist.net/anime/24457/Houkago_no_Oujisama,6.88,#4901,#10161,"3,212",11,"Comedy, School, Shounen"
4901,It's a Rumic World: 50th Anniversary Weekly★Shonen Sunday,6.88,https://myanimelist.net/anime/6566/Its_a_Rumic_World__50th_Anniversary_Weekly★Shonen_Sunday,6.88,#4902,#8980,"4,737",9,"Comedy, Sci-Fi, Shounen"
4902,Agatha Christie no Meitantei Poirot to Marple,6.87,https://myanimelist.net/anime/244/Agatha_Christie_no_Meitantei_Poirot_to_Marple,6.87,#4903,#7173,"8,375",26,"Mystery, Historical"
4903,Andersen Douwa: Ningyohime,6.87,https://myanimelist.net/anime/3043/Andersen_Douwa__Ningyohime,6.87,#4904,#7945,"6,466",34,"Fantasy, Romance"
4904,Azur Lane: Queen's Orders,6.87,https://myanimelist.net/anime/49793/Azur_Lane__Queens_Orders,6.87,#4905,#7322,"7,935",34,"Sci-Fi, Slice of Life, Anthropomorphic, Military, Shounen"
4905,Blassreiter,6.87,https://myanimelist.net/anime/3407/Blassreiter,6.87,#4906,#2440,"83,670",217,"Action, Drama, Sci-Fi, Mecha"
4906,Blood: The Last Vampire,6.87,https://myanimelist.net/anime/405/Blood__The_Last_Vampire,6.87,#4907,#1982,"115,268",266,"Award Winning, Horror, Supernatural, Gore, Vampire"
4907,Busou Shoujo Machiavellianism,6.87,https://myanimelist.net/anime/33475/Busou_Shoujo_Machiavellianism,6.87,#4908,#617,"396,883","1,017","Action, Comedy, Ecchi, Harem, Martial Arts, School, Shounen"
4908,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future,6.87,https://myanimelist.net/anime/40064/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II__Past___Future,6.87,#4909,#2962,"60,195",55,"Action, Adventure, Fantasy"
4909,Eguo,6.87,https://myanimelist.net/anime/52909/Eguo,6.87,#4910,#15469,667,3,Drama
4910,Fate/Grand Order: Zettai Majuu Sensen Babylonia Recaps,6.87,https://myanimelist.net/anime/40761/Fate_Grand_Order__Zettai_Majuu_Sensen_Babylonia_Recaps,6.87,#4911,#6441,"10,798",17,"Action, Fantasy"
4911,Fei Ren Zai 1st Season Part 4,6.87,https://myanimelist.net/anime/48374/Fei_Ren_Zai_1st_Season_Part_4,6.87,#4912,#14326,922,2,"Comedy, Supernatural, Mythology"
4912,Genjitsu no Yohane: Sunshine in the Mirror,6.87,https://myanimelist.net/anime/52214/Genjitsu_no_Yohane__Sunshine_in_the_Mirror,6.87,#4913,#3675,"40,504",179,"Fantasy, Idols (Female), Music"
4913,Girigiri Warukunai Watame,6.87,https://myanimelist.net/anime/51768/Girigiri_Warukunai_Watame,6.87,#4914,#12897,"1,372",4,Comedy
4914,Hinata no Aoshigure,6.87,https://myanimelist.net/anime/20673/Hinata_no_Aoshigure,6.87,#4915,#4489,"26,562",46,"Adventure, Fantasy, Romance"
4915,Hoshifuru Oukoku no Nina,6.87,https://myanimelist.net/anime/57362/Hoshifuru_Oukoku_no_Nina,6.87,#4916,#4064,"32,907",104,"Romance, Josei"
4916,Hua Jianghu: Bu Liang Ren IV,6.87,https://myanimelist.net/anime/49274/Hua_Jianghu__Bu_Liang_Ren_IV,6.87,#4917,#15908,597,4,"Drama, Fantasy, Romance, Historical, Martial Arts"
4917,Ikebukuro West Gate Park,6.87,https://myanimelist.net/anime/40359/Ikebukuro_West_Gate_Park,6.87,#4918,#1871,"123,993",367,"Drama, Mystery, Delinquents"
4918,Itsuka Tenma no Kuro Usagi: Kokoro Utsuri no Toukoubi - School Attendance Day,6.87,https://myanimelist.net/anime/10934/Itsuka_Tenma_no_Kuro_Usagi__Kokoro_Utsuri_no_Toukoubi_-_School_Attendance_Day,6.87,#4919,#4982,"20,845",4,"Action, Comedy, Romance, Supernatural, Ecchi, Mythology, School, Vampire"
4919,Kakkou no Iinazuke,6.87,https://myanimelist.net/anime/48675/Kakkou_no_Iinazuke,6.87,#4920,#872,"297,013","2,241","Comedy, Romance, Harem, Shounen"
4920,Karneval Specials,6.87,https://myanimelist.net/anime/23425/Karneval_Specials,6.87,#4921,#6625,"10,114",7,"Comedy, Josei"
4921,Kero 0: Shuppatsu da yo! Zenin Shuugou!,6.87,https://myanimelist.net/anime/11299/Kero_0__Shuppatsu_da_yo_Zenin_Shuugou,6.87,#4922,#11583,"2,102",8,"Action, Adventure, Comedy, Sci-Fi, Mecha, Space, Shounen"
4922,Key the Metal Idol,6.87,https://myanimelist.net/anime/1457/Key_the_Metal_Idol,6.87,#4923,#4509,"26,297",141,"Action, Award Winning, Drama, Sci-Fi, Mecha, Music, Psychological"
4923,King of Prism: Pride the Hero,6.87,https://myanimelist.net/anime/34032/King_of_Prism__Pride_the_Hero,6.87,#4924,#8739,"5,133",12,"Sports, Idols (Male), Music"
4924,Koe de Oshigoto! The Animation,6.87,https://myanimelist.net/anime/8876/Koe_de_Oshigoto_The_Animation,6.87,#4925,#2283,"93,123",128,"Comedy, Ecchi, Otaku Culture, Showbiz, Seinen"
4925,Koukaku Kidoutai: Stand Alone Complex - Solid State Society - Uchikoma na Hibi,6.87,https://myanimelist.net/anime/3447/Koukaku_Kidoutai__Stand_Alone_Complex_-_Solid_State_Society_-_Uchikoma_na_Hibi,6.87,#4926,#6000,"12,840",13,"Comedy, Sci-Fi, Mecha"
4926,Love Live! School Idol Project OVA,6.87,https://myanimelist.net/anime/20745/Love_Live_School_Idol_Project_OVA,6.87,#4927,#3184,"52,305",114,"Slice of Life, Idols (Female), Music, School"
4927,Lupin III: The Last Job,6.87,https://myanimelist.net/anime/8097/Lupin_III__The_Last_Job,6.87,#4928,#7178,"8,366",2,"Action, Adventure, Comedy, Adult Cast, Seinen"
4928,Mahou no Princess Minky Momo: Yume wo Dakishimete,6.87,https://myanimelist.net/anime/5953/Mahou_no_Princess_Minky_Momo__Yume_wo_Dakishimete,6.87,#4929,#9161,"4,468",5,"Fantasy, Mahou Shoujo"
4929,Mai-HiME Specials,6.87,https://myanimelist.net/anime/673/Mai-HiME_Specials,6.87,#4930,#6109,"12,323",15,Comedy
4930,Mushikaburi-hime,6.87,https://myanimelist.net/anime/50923/Mushikaburi-hime,6.87,#4931,#2537,"78,222",468,"Drama, Romance, Josei"
4931,Nakanohito Genome [Jikkyouchuu],6.87,https://myanimelist.net/anime/37926/Nakanohito_Genome_Jikkyouchuu,6.87,#4932,#1729,"137,182",595,"Adventure, Drama, Mystery, Video Game"
4932,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... OVA,6.87,https://myanimelist.net/anime/49457/Otome_Game_no_Hametsu_Flag_shika_Nai_Akuyaku_Reijou_ni_Tensei_shiteshimatta_OVA,6.87,#4933,#4396,"27,740",38,"Comedy, Drama, Fantasy, Romance, Isekai, Reverse Harem, School, Villainess, Shoujo"
4933,Pokemon Movie 13: Genei no Hasha Zoroark,6.87,https://myanimelist.net/anime/7695/Pokemon_Movie_13__Genei_no_Hasha_Zoroark,6.87,#4934,#2555,"77,365",31,"Action, Adventure, Fantasy, Kids"
4934,Saihate no Paladin,6.87,https://myanimelist.net/anime/48761/Saihate_no_Paladin,6.87,#4935,#776,"325,027","1,443","Action, Adventure, Fantasy, Isekai, Reincarnation"
4935,Saint Seiya: Kamigami no Atsuki Tatakai,6.87,https://myanimelist.net/anime/1258/Saint_Seiya__Kamigami_no_Atsuki_Tatakai,6.87,#4936,#5204,"18,559",21,"Adventure, Sci-Fi, Shounen"
4936,Servamp,6.87,https://myanimelist.net/anime/31229/Servamp,6.87,#4937,#879,"294,727","1,316","Action, Supernatural, Vampire, Josei"
4937,Sora no Method: Aru Shoujo no Kyuujitsu★,6.87,https://myanimelist.net/anime/30919/Sora_no_Method__Aru_Shoujo_no_Kyuujitsu★,6.87,#4938,#6520,"10,464",11,"Comedy, Fantasy"
4938,Soukou Kihei Votoms: Koei Futatabi,6.87,https://myanimelist.net/anime/8250/Soukou_Kihei_Votoms__Koei_Futatabi,6.87,#4939,#9715,"3,726",1,"Action, Drama, Sci-Fi, Mecha, Military"
4939,Starmyu,6.87,https://myanimelist.net/anime/30375/Starmyu,6.87,#4940,#3410,"46,174",255,"Slice of Life, Idols (Male), Music, Performing Arts, School"
4940,Sumomomo Momomo: Chijou Saikyou no Yome Specials,6.87,https://myanimelist.net/anime/3419/Sumomomo_Momomo__Chijou_Saikyou_no_Yome_Specials,6.87,#4941,#5990,"12,899",8,"Comedy, Romance, Ecchi, Martial Arts"
4941,Ta Bu Dang Nuzhu Hen Duo Nian,6.87,https://myanimelist.net/anime/54881/Ta_Bu_Dang_Nuzhu_Hen_Duo_Nian,6.87,#4942,#13033,"1,311",29,"Action, Adventure, Historical"
4942,Tesagure! Bukatsumono Spin-off Purupurun Sharumu to Asobou,6.87,https://myanimelist.net/anime/28835/Tesagure_Bukatsumono_Spin-off_Purupurun_Sharumu_to_Asobou,N/A,N/A,N/A,N/A,N/A,N/A
4943,Usavich,6.87,https://myanimelist.net/anime/3737/Usavich,N/A,N/A,N/A,N/A,N/A,N/A
4944,Uta∽Kata: Shotou no Futanatsu,6.87,https://myanimelist.net/anime/689/Uta∽Kata__Shotou_no_Futanatsu,N/A,N/A,N/A,N/A,N/A,N/A
4945,Vandread: Gekitou-hen,6.87,https://myanimelist.net/anime/1111/Vandread__Gekitou-hen,N/A,N/A,N/A,N/A,N/A,N/A
4946,Wu Geng Ji 4th Season Part 2,6.87,https://myanimelist.net/anime/52680/Wu_Geng_Ji_4th_Season_Part_2,N/A,N/A,N/A,N/A,N/A,N/A
4947,Xiao Lu He Xiao Lan 2nd Season,6.87,https://myanimelist.net/anime/53448/Xiao_Lu_He_Xiao_Lan_2nd_Season,N/A,N/A,N/A,N/A,N/A,N/A
4948,Xiaoke de Huatu Xie Hua,6.87,https://myanimelist.net/anime/55072/Xiaoke_de_Huatu_Xie_Hua,N/A,N/A,N/A,N/A,N/A,N/A
4949,Yesterday wo Utatte,6.87,https://myanimelist.net/anime/39710/Yesterday_wo_Utatte,N/A,N/A,N/A,N/A,N/A,N/A
